Name,Draft Year,Class,Role,Position,Pre-NBA,League,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,AST,TOV,AST/TOV,STL,BLK,Defensive Stats,STL%,BLK%,Def %,3P%,3PM/G,3PM x 3P%,Shooter,FT%,FT Rating,SOS,PER,PER/Age,S_PER,WS/40,[WS/40]/Age,BPM,BPM/Age,S_BPM,AST%,TOV%,AST%/TOV%,TS%,eFG%,USG%,PTS/USG%,AST/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Y1 Rotation,Top 3 Pick,Lottery Pick,G Played Issue,Pred. Y1 Rank,Pred. Y2 Rank,Pred. Y3 Rank,Avg. Rank Y1-Y3,Pred. Y4 Rank,Pred. Y5 Rank,Avg. Rank Y1-Y5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,Team,
Dillon Jones,2024,Senior,Wing,3,Weber State,Big Sky,#4B2682,22.64,77.75,"6'5.75""",83,"6'11""",5.25,237,0.412,0.57,0.375,0.453,0,0.50,20.8,9.8,5.2,3,1.73,2,0.1,2.1,,,,0.324,1.1,0.3564,0.5,0.857,1,-4.15,27.9,1.23,0.327,0.23,0.010,7.7,0.34,-0.565,30.3,14.8,2.05,0.597,0.527,29.5,0.71,0.176,1.027,0.502,1,0,0,0,0,0,0,1,0,0,,46,42,24,37.3,58,43,42.6,-3.10,-1.60,0.03,-1.56,-2.01,0.07,-1.32,,,,,,26,OKC,Jones
Terrence Shannon Jr.,2024,Senior,Wing,2.5,Illinois,Big 10,#E84A27,23.89,79,"6'7""",80.75,"6'8.75""",1.75,219,0.310,0.75,0.75,0.750,0,0.75,23,4,2.3,2,1.15,1,0.9,1.9,,,,0.362,2.4,0.8688,0.75,0.801,0.75,9.54,26.9,1.13,0.170,0.235,0.010,11.5,0.48,-0.474,12.9,9.8,1.32,0.622,0.559,29.2,0.79,0.079,0.442,0.336,1,0,0,0,0,0,0,1,0,0,,13,33,40,28.7,40,20,29.2,-1.23,-1.26,-0.88,-1.12,-0.91,1.07,-0.64,,,,,,27,MIN,Shannon
Ryan Dunn,2024,Sophomore,Wing,3,Virginia,ACC,#232D4B,21.45,79.5,"6'7.5""",83.5,"6'11.5""",4,214,0.212,0.545,0.904,0.760,0,0.75,8.1,6.9,0.8,0.8,1.00,1.3,2.3,3.6,,,,0.2,0.2,0.04,0.1,0.532,0,7.31,22,1.03,0.168,0.179,0.008,7.2,0.34,-0.522,6,10.3,0.58,0.564,0.565,16.8,0.48,0.048,0.357,0.613,1,0,0,0,0,0,0,1,0,0,,9,26,8,14.3,27,6,15.2,-1.13,-1.07,1.08,-0.37,0.18,1.73,0.16,,,,,,28,PHX,Dunn
Isaiah Collier,2024,Freshman,Guard,1,USC,PAC 12,#990000,19.7,75.75,"6'3.75""",76.75,"6'4.75""",1,205,0.630,0.857,0.802,0.824,0,0.75,16.3,2.9,4.3,3.3,1.30,1.5,0.2,1.7,,,,0.338,1,0.338,0.5,0.673,0.25,9.54,19.3,0.98,0.192,0.11,0.006,4.2,0.21,-0.575,30.9,18.7,1.65,0.567,0.533,29.7,0.55,0.145,1.040,0.630,1,0,0,0,0,0,0,1,0,0,,50,30,59,46.3,29,52,44.0,-3.30,-1.20,-2.24,-2.25,-0.09,-0.38,-1.44,,,,,,29,UTA,Collier
Baylor Scheierman,2024,Senior,Wing,2.5,Creighton,Big East,#005CA9,23.73,79.5,"6'7.5""",80.25,"6'8.25""",0.75,202,0.280,0.2,0.37,0.302,0,0.50,18.5,9,3.9,2.2,1.77,0.9,0.1,1,,,,0.381,3.1,1.1811,1,0.876,1,9.53,21.9,0.92,-0.026,0.191,0.008,9.8,0.41,-0.536,19.9,12.6,1.58,0.596,0.56,25.5,0.73,0.153,0.780,0.494,1,0,0,0,0,0,0,0,0,0,,47,22,36,35.0,55,53,42.6,-3.15,-0.91,-0.75,-1.60,-1.77,-0.38,-1.39,,,,,,30,BOS,Scheierman
Jonathan Mogbo,2024,Junior,Wing,4,San Francisco,WCC,#00543C,22.64,79.5,"6'7.5""",86,"7'2""",6.5,217,0.422,0.556,0.923,0.776,0,0.75,14.2,10.1,3.6,1.8,2.00,1.6,0.8,2.4,,,,0,0,0,0,0.692,0.25,0.23,31.2,1.38,0.472,0.283,0.013,11.1,0.49,-0.415,24.5,13.8,1.78,0.648,0.636,22.7,0.63,0.159,1.079,0.608,1,0,0,0,0,0,0,1,0,0,,21,54,28,34.3,34,19,31.2,-1.74,-1.96,-0.24,-1.31,-0.39,1.11,-0.65,,,,,,31,TOR,Mogbo
Kyle Filipowski,2024,Sophomore,Big,4.5,Duke,ACC,#003087,20.62,84,"7'0""",82.5,"6'10.5""",-1.5,230,0.335,0.246,0.615,0.467,0,0.50,16.4,8.3,2.8,2.1,1.33,1.1,1.5,2.6,,,,0.348,1.1,0.3828,0.5,0.671,0.25,8.36,26,1.26,0.436,0.217,0.011,11.1,0.54,-0.286,18.4,12.9,1.43,0.573,0.549,27.7,0.59,0.101,0.664,0.466,1,0,0,0,0,0,0,1,0,0,,24,12,13,16.3,13,11,14.6,-1.88,-0.42,0.84,-0.49,1.12,1.40,0.21,,,,,,32,UTA,Filipowski
Tyler Smith,2024,G League,Wing,3.5,G League Ignite,G League,#8C2A93,19.63,82.25,"6'10.25""",85,"7'1""",2.75,224,0.427,0.71,0.93,0.842,0,0.75,14.3,5.2,1.7,1.4,1.21,1,0.8,1.8,,,,0.352,1.2,0.4224,0.5,0.742,0.5,13.43,19.9,1.01,0.229,0.047,0.002,,,,13.4,10.3,1.30,0.595,0.531,25.9,0.55,0.066,0.517,0.398,0,0,0,0,1,1,0,1,0,0,,42,69,,55.5,,,55.5,-2.97,-3.00,,-2.98,,,-2.98,,,,,,33,MIL,Smith
Tyler Kolek,2024,Senior,Guard,1,Marquette,Big East,#FFCC00,23.23,74.5,"6'2.5""",74.75,"6'2.75""",0.25,197,0.422,0.401,0.218,0.291,0,0.50,15.3,4.9,7.7,2.9,2.66,1.6,0.2,1.8,,,,0.388,1.5,0.582,0.75,0.851,1,11.02,24.3,1.05,0.117,0.2,0.009,10.1,0.43,-0.494,42.1,18.4,2.29,0.6,0.563,24.3,0.63,0.317,1.733,0.757,1,0,0,0,0,0,0,1,0,0,,12,21,29,20.7,28,37,25.4,-1.21,-0.91,-0.25,-0.79,0.15,0.26,-0.39,,,,,,34,NYK,Kolek
Johnny Furphy,2024,Freshman,Guard,2.5,Kansas,Big 12,#0051BA,19.53,80.75,"6'8.75""",80,"6'8""",-0.75,202,0.673,0.035,0.165,0.113,0,0.25,9,4.9,1,0.8,1.25,0.9,0.3,1.2,,,,0.352,1.3,0.4576,0.5,0.765,0.5,11.32,17,0.87,0.089,0.156,0.008,6.6,0.34,-0.443,7.1,10.3,0.69,0.609,0.573,17.6,0.51,0.057,0.403,0.585,1,0,0,0,0,0,0,1,0,0,,33,44,23,33.3,46,61,41.4,-2.06,-1.66,0.07,-1.22,-1.36,-0.56,-1.11,,,,,,35,IND,Furphy
Juan Núñez,2024,International,Guard,1,Ratiopharm Ulm,German BBL,#D74F37,20.04,76,"6'4""",78,"6'6""",2,190,0.590,0.5,0.5,0.500,0,0.50,9.9,3.4,4.9,2.3,2.13,1.7,0,1.7,,,,0.319,0.8,0.2552,0.25,0.607,0.25,9.51,17.3,0.86,0.062,,,,,,34.5,20.1,1.72,0.543,0.521,22.6,0.44,0.217,1.527,0.889,0,1,1,0,0,0,0,0,0,0,,20,28,37,28.3,6,4,19.0,-1.70,-1.12,-0.79,-1.20,1.66,2.16,0.04,,,,,,36,SA,Nunez
Bobi Klintman,2024,International,Wing,3.5,Cairns,NBL,#DE6237,21.29,82,"6'10""",83,"6'11""",1,212,0.338,0.072,0.27,0.191,0,0.25,10.2,4.7,0.9,1.7,0.53,1,0.5,1.5,,,,0.337,1.2,0.4044,0.5,0.813,0.75,11.06,13.9,0.65,-0.199,,,,,,6.6,16.3,0.40,0.571,0.513,20.8,0.49,0.043,0.317,0.784,0,1,0,1,0,0,0,0,0,0,,71,74,45,63.3,15,67,54.4,-4.59,-4.51,-1.14,-3.41,0.97,-0.97,-2.05,,,,,,37,DET,Klintman
Ajay Mitchell,2024,Junior,Guard,2,UC Santa Barbara,Big West,#003660,21.99,76.5,"6'4.5""",78.25,"6'6.25""",1.75,197,0.315,0.534,0.647,0.602,0,0.50,20,4,4,2.6,1.54,1.2,0.4,1.6,,,,0.393,1.1,0.4323,0.75,0.858,1,-3.01,25.7,1.17,0.289,0.198,0.009,5,0.23,-0.652,28.2,13.5,2.09,0.612,0.547,31.1,0.64,0.129,0.907,0.434,1,0,0,0,0,0,0,1,0,0,,41,24,10,25.0,57,46,35.6,-2.77,-1.02,1.03,-0.92,-1.96,-0.19,-0.98,,,,,,38,OKC,Mitchell
Jaylen Wells,2024,Junior,Wing,3,Washington State,PAC 12,#981E32,20.82,79.75,"6'7.75""",79.25,"6'7.25""",-0.5,206,0.334,0.257,0.478,0.390,0,0.50,12.6,4.6,1.2,0.7,1.71,0.5,0.2,0.7,,,,0.417,2.1,0.8757,1,0.814,0.75,7.19,18.6,0.89,0.061,0.181,0.009,7.3,0.35,-0.482,7.9,5.9,1.34,0.585,0.545,20.1,0.63,0.060,0.393,0.294,1,0,0,0,0,0,0,1,0,0,,28,53,55,45.3,50,56,48.4,-1.96,-1.95,-2.08,-1.99,-1.56,-0.43,-1.60,,,,,,39,MEM,Wells
Oso Ighodaro,2024,Senior,Big,4.5,Marquette,Big East,#FFCC00,21.97,82.75,"6'10.75""",83,"6'11""",0.25,222,0.157,0.908,0.848,0.872,0,0.75,13.4,6.9,2.9,1.8,1.61,1.1,1.3,2.4,,,,0,0,0,0,0.623,0.25,11.02,21.9,1.00,0.118,0.177,0.008,8,0.36,-0.515,16.1,13.5,1.19,0.59,0.576,20.7,0.65,0.140,0.778,0.652,1,0,0,0,0,0,0,1,0,0,,19,40,12,23.7,32,34,27.4,-1.61,-1.51,0.87,-0.75,-0.24,0.49,-0.40,,,,,,40,PHX,Ighodaro
Adem Bona,2024,Sophomore,Big,5,UCLA,PAC 12,#2D68C4,21.23,81.5,"6'9.5""",87.75,"7'3.75""",6.25,243,0.384,0.99,0.975,0.981,1,1.00,12.4,5.9,1.2,2.5,0.48,1.1,1.8,2.9,,,,0,0,0,0,0.696,0.25,7.84,23.3,1.10,0.248,0.165,0.008,6.5,0.31,-0.543,11.6,19.9,0.58,0.619,0.588,25,0.50,0.048,0.464,0.796,1,0,0,0,0,0,0,0,0,0,,65,35,19,39.7,26,41,37.2,-3.97,-1.31,0.52,-1.59,0.26,0.12,-0.88,,,,,,41,PHI,Bona
KJ Simpson,2024,Junior,Guard,1,Colorado,PAC 12,#CFB87C,21.87,73.5,"6'1.5""",76.5,"6'4.5""",3,187,0.319,0.832,0.761,0.789,0,0.75,19.7,5.8,4.9,2.2,2.23,1.6,0.1,1.7,,,,0.434,2.1,0.9114,1,0.876,1,8.36,24.8,1.13,0.259,0.221,0.010,10.1,0.46,-0.413,27.1,11.9,2.28,0.606,0.552,26.7,0.74,0.184,1.015,0.446,1,0,0,0,0,0,0,1,0,0,,16,34,46,32.0,8,15,23.8,-1.51,-1.27,-1.21,-1.33,1.50,1.21,-0.26,,,,,,42,CHA,Simpson
