Player,Pre-NBA,Draft Year,Combine Position,Primary Position,Secondary Positions,Default Position,Is Primary,Hand Length (in.),Hand Width (in.),Height w/o Shoes,Height (in.),Standing Reach,Standing Reach (in.),Wingspan,Wingspan (in.),Weight (lbs),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Height (in.)_Percentile,Standing Reach (in.)_Percentile,Wingspan (in.)_Percentile,Weight (lbs)_Percentile,Hand Length (in.)_Percentile,Hand Width (in.)_Percentile,Physical Score,Lane Agility Time_Percentile,Three Quarter Sprint_Percentile,Shuttle Run_Percentile,Agility Score,Max Vertical_Percentile,Standing Vertical_Percentile,Vertical Score,Raw Score,Combine Score
Reyshawn Terry,North Carolina,2007,SF,SF,SG-PF,PF,0,,,"6'6.75""",78.75,"8'7.5""",103.5,"6'10""",82,222,11.76,,3.26,31,37.5,15.03416856,6.036446469,6.833712984,23.46241458,,,12.84168565,37.24747475,68.06615776,,52.65681625,91.03535354,79.21914358,85.12724856,50.20858349,47.55154639
Ron Lewis,,2007,SG,SG,PG-SF,PG,0,,,"6'2""",74,"8'3""",99,"6'6.5""",78.5,194,11.59,,3.22,33,38,68.767507,72.26890756,63.58543417,69.94382022,,,68.64141724,13.60759494,42.53968254,,28.07363874,73.49206349,87.1835443,80.3378039,59.01761996,69.41747573
Ron Lewis,,2007,SG,SG,PG-SF,SF,0,,,"6'2""",74,"8'3""",99,"6'6.5""",78.5,194,11.59,,3.22,33,38,0.2325581395,1.627906977,2.441860465,7.441860465,,,2.936046512,29.25257732,61.08247423,,45.16752577,79.87179487,87.27506427,83.57342957,43.89233395,32.32189974
Russell Carter,,2007,SG,SG,PG-SF,PG,0,,,"6'3""",75,"8'1.5""",97.5,"6'8.5""",80.5,221,11.61,,3.29,33,38.5,81.09243697,51.40056022,87.39495798,98.59550562,,,79.6208652,12.5,16.19047619,,14.3452381,77.77777778,87.1835443,82.48066104,58.81558811,69.09385113
Russell Carter,,2007,SG,SG,PG-SF,SF,0,,,"6'3""",75,"8'1.5""",97.5,"6'8.5""",80.5,221,11.61,,3.29,33,38.5,0.4651162791,0.8139534884,14.06976744,70.11627907,,,21.36627907,28.35051546,39.69072165,,34.02061856,83.71794872,87.27506427,85.49650649,46.96113471,40.7651715
Ryvon Covile,,2007,C-PF,PF,C,C,0,,,"6'7""",79,"8'11.5""",107.5,"7'1.25""",85.25,250,12.52,,3.37,25,30.5,2.07253886,12.23958333,18.9119171,63.21243523,,,24.10911863,16.875,57.8125,,37.34375,38.75,27.1875,32.96875,31.47387288,7.278481013
Sammy Mejia,DePaul,2007,SG,SG,SF,SF,0,,,"6'5""",77,"8'9""",105,"6'11""",83,218,11.87,,3.49,27,31.5,17.20930233,66.04651163,53.13953488,60.69767442,,,49.27325581,13.1443299,1.675257732,,7.409793814,14.61538462,18.38046272,16.49792367,24.39365777,3.82585752
Spencer Hawes,Washington,2007,PF,PF,SF-C,SF,0,,,"6'10""",82,"9'2""",110,"7'0.5""",84.5,244,11.88,,3.51,26,29,100,99.65116279,78.48837209,97.55813953,,,93.9244186,13.01546392,1.546391753,,7.280927835,3.333333333,11.56812339,7.450728363,36.2186916,17.01846966
Spencer Hawes,Washington,2007,PF,PF,SF-C,C,0,,,"6'10""",82,"9'2""",110,"7'0.5""",84.5,244,11.88,,3.51,26,29,33.41968912,45.05208333,10.88082902,51.8134715,,,35.29151824,47.5,22.1875,,34.84375,22.8125,34.375,28.59375,32.90967275,11.07594937
Stephane Lasme,Massachusetts,2007,PF,PF,SF-C,SF,0,,,"6'5""",77,"8'11""",107,"7'2""",86,213,11.73,,3.22,29.5,36,17.20930233,90.58139535,91.86046512,47.20930233,,,61.71511628,20.36082474,61.08247423,,40.72164948,59.74358974,50,54.87179487,52.43618688,53.95778364
Stephane Lasme,Massachusetts,2007,PF,PF,SF-C,C,0,,,"6'5""",77,"8'11""",107,"7'2""",86,213,11.73,,3.22,29.5,36,0.518134715,9.635416667,27.20207254,4.14507772,,,10.37517541,62.1875,86.875,,74.53125,86.875,74.0625,80.46875,55.12505847,62.34177215
Thaddeus Young,Georgia Tech,2007,SF,SF,SG-PF,SG,0,,,"6'5.75""",77.75,"8'10""",106,"6'11.5""",83.5,210,11.06,,3.19,34.5,37,96.65551839,99.83277592,94.64882943,73.32214765,,,91.11481785,53.07692308,61.06870229,,57.07281268,63.16793893,95.30075188,79.23434541,75.80732531,95.81673307
Thaddeus Young,Georgia Tech,2007,SF,SF,SG-PF,PF,0,,,"6'5.75""",77.75,"8'10""",106,"6'11.5""",83.5,210,11.06,,3.19,34.5,37,4.328018223,27.1070615,22.8929385,6.9476082,,,15.31890661,86.11111111,89.44020356,,87.77565734,87.75252525,98.3627204,93.05762283,65.38406226,85.69587629
Trey Johnson,Texas,2007,SG,SG,PG-SF,PG,0,,,"6'3""",75,"8'2""",98,"6'5""",77,216,11.78,,3.31,26.5,35,81.09243697,58.54341737,42.29691877,97.47191011,,,69.85117081,7.436708861,13.49206349,,10.46438618,42.53968254,15.18987342,28.86477798,36.39344499,20.87378641
Trey Johnson,Texas,2007,SG,SG,PG-SF,SF,0,,,"6'3""",75,"8'2""",98,"6'5""",77,216,11.78,,3.31,26.5,35,0.4651162791,0.9302325581,0.5813953488,55.34883721,,,14.33139535,16.49484536,33.1185567,,24.80670103,48.20512821,14.39588689,31.30050755,23.47953464,3.562005277
Yue Sun,Beijing Olympians,2007,SF,SF,SG-PF,SG,0,,,"6'7.75""",79.75,"8'9""",105,"6'9""",81,212,10.68,,3.45,29,34,100,98.66220736,57.85953177,78.69127517,,,83.80325357,86.34615385,4.198473282,,45.27231356,28.6259542,39.47368421,34.0498192,54.37512878,61.55378486
Yue Sun,Beijing Olympians,2007,SF,SF,SG-PF,PF,0,,,"6'7.75""",79.75,"8'9""",105,"6'9""",81,212,10.68,,3.45,29,34,35.99088838,15.261959,1.822323462,8.769931663,,,15.46127563,96.46464646,18.57506361,,57.51985504,61.36363636,60.20151134,60.78257385,44.5879015,36.46907216
