Player,Pre-NBA,Draft Year,Combine Position,Primary Position,Secondary Positions,Default Position,Is Primary,Hand Length (in.),Hand Width (in.),Height w/o Shoes,Height (in.),Standing Reach,Standing Reach (in.),Wingspan,Wingspan (in.),Weight (lbs),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Height (in.)_Percentile,Standing Reach (in.)_Percentile,Wingspan (in.)_Percentile,Weight (lbs)_Percentile,Hand Length (in.)_Percentile,Hand Width (in.)_Percentile,Physical Score,Lane Agility Time_Percentile,Three Quarter Sprint_Percentile,Shuttle Run_Percentile,Agility Score,Max Vertical_Percentile,Standing Vertical_Percentile,Vertical Score,Raw Score,Combine Score
Ochai Agbaji,Kansas,2022,SG,SG,SF,SG,1,8.75,9.5,"6'4.5""",76.5,"8'8""",104,"6'10.25""",82.25,216.8,10.77,3.11,3.13,32,39,75.67114094,94.96644295,79.53020134,89.56228956,70.43269231,63.94230769,84.9325187,80.30888031,80.45977011,36.97183099,80.38432521,81.99233716,76.22641509,79.10937613,81.47540668,99.20318725
Orlando Robinson,Fresno State,2022,C,C,PF,C,1,8.75,10,"6'9.75""",81.75,"9'3""",111,"7'4""",88,244.4,11.4,3.23,3.55,23,27.5,28.125,60.9947644,61.19791667,52.86458333,13.2,50.4,50.7955661,82.38993711,15.09433962,37.64705882,48.74213836,12.89308176,7.232704403,10.06289308,36.53353252,20.25316456
Antonis Fotsis,,2000,SF,SF,SG-PF,SG,0,,,"6'9.25""",81.25,"8'10""",106,"6'8.5""",80.5,219,11.6,,3.44,27,30,100,99.83277592,47.82608696,92.7852349,,,85.11102444,14.03846154,4.770992366,,9.404726952,3.244274809,15.60150376,9.422889284,34.64621356,16.93227092
Antonis Fotsis,,2000,SF,SF,SG-PF,PF,0,,,"6'9.25""",81.25,"8'10""",106,"6'8.5""",80.5,219,11.6,,3.44,27,30,81.77676538,27.1070615,0.9111617312,17.31207289,,,31.77676538,48.98989899,20.48346056,,34.73667977,16.66666667,32.49370277,24.58018472,30.36454329,9.664948454
Patrick Baldwin Jr.,Milwaukee,2022,SF,SF,PF,SF,1,8.75,9.5,"6'9.25""",81.25,"9'2.5""",110.5,"7'1.75""",85.75,230.8,12.25,3.3,3.45,23.5,26.5,99.41724942,100,89.74358974,87.41258741,52.57936508,58.92857143,94.14335664,4.134366925,4.392764858,8.235294118,4.263565891,0.2570694087,2.319587629,1.288328519,33.23175035,12.40105541
Peyton Watson,UCLA,2022,SF,SF,SG-PF,SF,1,8.5,9.5,"6'6.75""",78.75,"8'11.5""",107.5,"7'0.5""",84.5,203.4,11.03,3.24,3.28,28,33.5,68.88111888,94.75524476,78.55477855,22.26107226,30.15873016,58.92857143,66.11305361,71.05943152,42.11886305,15.88235294,56.58914729,31.10539846,29.3814433,30.24342088,50.98187393,50.92348285
Ron Harper Jr.,Rutgers,2022,SF,SF,SG-PF,SF,1,9.5,10,"6'4""",76,"8'9.5""",105.5,"7'1.25""",85.25,240.4,11.41,3.24,3.4,26,30.5,2.214452214,72.84382284,86.82983683,95.57109557,97.42063492,83.53174603,64.36480186,41.21447028,11.75710594,15.88235294,26.48578811,7.969151671,11.46907216,9.719111918,33.52323397,12.92875989
Ryan Rollins,Toledo,2022,SG,PG,SG,PG,1,8,8.5,"6'2""",74,"8'4.5""",100.5,"6'9.75""",81.75,179.2,11.26,3.28,3.07,30.5,36.5,68.82022472,87.64044944,95.2247191,30.98591549,20.14925373,20.14925373,70.66782719,31.26984127,91.56050955,7.857142857,61.41517541,56.68789809,60.47619048,58.58204428,63.55501563,78.96440129
Scotty Pippen Jr.,Vanderbilt,2022,PG,PG,SG,PG,1,7.75,9,"6'0""",72,"7'11.5""",95.5,"6'5.75""",77.75,180,11.07,3.1,3.21,30.5,37.5,26.26404494,27.9494382,53.51123596,32.25352113,7.711442786,49.50248756,34.99456006,49.04761905,46.81528662,38.21428571,47.93145284,68.94904459,60.47619048,64.71261753,49.21287681,45.95469256
Shaedon Sharpe,Kentucky,2022,SG,SG,PG,SG,1,9,9.25,"6'4.25""",76.25,"8'7.5""",103.5,"6'11.5""",83.5,198,,,,,,65.77181208,89.59731544,94.79865772,39.39393939,88.46153846,47.83653846,72.39043116,,,,,,,,,
Tari Eason,LSU,2022,PF,PF,SF-C,PF,1,9.25,11,"6'6.75""",78.75,"8'11.5""",107.5,"7'2""",86,217.4,,,,,,14.9543379,55.3652968,64.61187215,15.75342466,75.58139535,96.51162791,37.67123288,,,,,,,,,
Terquavion Smith,NC State,2022,SG,SG,PG-SF,SG,1,8.5,8,"6'2.25""",74.25,"8'2""",98,"6'6.5""",78.5,165.2,10.63,3.03,3.14,30.5,38.5,7.55033557,9.563758389,15.10067114,0.3367003367,42.54807692,1.682692308,8.137866359,88.41698842,77.01149425,55.63380282,82.71424133,78.35249042,58.86792453,68.61020747,53.15410506,58.96414343
Bootsy Thornton,,2000,SG,SG,PG-SF,PG,0,,,"6'3.5""",75.5,"8'5.5""",101.5,"6'6.5""",78.5,194.5,12.08,,3.33,26.5,31,88.51540616,91.8767507,63.58543417,71.34831461,,,78.83147641,2.53164557,10.31746032,,6.424552944,7.301587302,15.18987342,11.24573036,32.16725324,14.72491909
Trevion Williams,Purdue,2022,C,C,PF,C,1,9,10.25,"6'7.25""",79.25,"9'0.5""",108.5,"7'2.75""",86.75,264.6,12.75,3.46,3.48,27.5,30,3.125,20.94240838,41.14583333,84.11458333,29.6,67.2,37.33195626,10.6918239,28.6163522,8.823529412,19.65408805,31.44654088,54.08805031,42.7672956,33.2511133,12.02531646
Trevor Keels,Duke,2022,SG,SG,PG,SG,1,8.25,9,"6'3.25""",75.25,"8'5""",101,"6'7.25""",79.25,223.8,11.33,3.32,3.27,24.5,31,30.53691275,48.99328859,27.01342282,96.8013468,17.06730769,32.69230769,50.83624274,33.3976834,35.24904215,4.929577465,34.32336277,6.513409962,3.58490566,5.049157811,30.06958777,10.75697211
Bootsy Thornton,,2000,SG,SG,PG-SF,SF,0,,,"6'3.5""",75.5,"8'5.5""",101.5,"6'6.5""",78.5,194.5,12.08,,3.33,26.5,31,0.6976744186,12.3255814,2.441860465,7.441860465,,,5.726744186,7.087628866,27.06185567,,17.07474227,10.8974359,14.39588689,12.64666139,11.81604928,0
TyTy Washington Jr.,Kentucky,2022,SG,PG,SG,PG,1,8.5,9.25,"6'2.25""",74.25,"8'3.5""",99.5,"6'8""",80,196.4,,,,,,72.75280899,77.80898876,83.70786517,77.74647887,71.64179104,65.67164179,78.00403545,,,,,,,,,
Walker Kessler,Auburn,2022,C,C,,C,1,8.5,8.5,"7'0.25""",84.25,"9'5""",113,"7'4.25""",88.25,256,,,,,,86.71875,87.69633508,65.88541667,73.95833333,6,2.4,78.56470877,,,,,,,,,
Wendell Moore,Duke,2022,SG,SG,SF,SG,1,8.75,10.25,"6'4.25""",76.25,"8'5""",101,"7'0.5""",84.5,217.2,10.94,3.21,3.3,32.5,38.5,65.77181208,48.99328859,98.15436242,90.23569024,70.43269231,95.67307692,75.78878833,65.25096525,25.67049808,12.32394366,45.46073167,78.35249042,81.13207547,79.74228295,66.99726765,84.06374502
Aaron Henry,Michigan State,2021,SF,SF,SG-PF,SF,1,8.5,9.25,"6'4.5""",76.5,"8'7.5""",103.5,"6'10.75""",82.75,209.6,11.68,3.18,3.07,29,35,6.41025641,38.22843823,49.18414918,36.82983683,30.15873016,42.65873016,32.66317016,24.28940568,95.47803618,27.35294118,59.88372093,48.20051414,43.04123711,45.62087563,46.05592224,38.78627968
Aaron Wiggins,Maryland,2021,SG-SF,SF,SG,SF,1,8.75,8.5,"6'4.5""",76.5,"8'7""",103,"6'9.75""",81.75,190,11.2,3,3.04,29.5,36,6.41025641,29.83682984,32.28438228,4.778554779,52.57936508,7.142857143,18.32750583,56.84754522,98.4496124,67.64705882,77.64857881,59.76863753,50,54.88431877,50.28680113,48.02110818
AJ Lawson,South Carolina,2021,SG-SF,SG,PG,SG,1,8.5,9.25,"6'5.5""",77.5,"8'3.5""",99.5,"6'6.75""",78.75,179.2,11,3.01,2.98,33,41,94.96644295,23.32214765,18.79194631,4.04040404,42.54807692,47.83653846,35.28023524,58.10810811,98.65900383,61.26760563,78.38355597,91.95402299,85.47169811,88.71286055,67.45888392,85.25896414
Ariel Hukporti,Melbourne,2021,C,C,PF,C,1,9.5,9.5,"6'10.75""",82.75,"9'3.5""",111.5,"7'2.5""",86.5,246,12.2,3.53,3.12,24.5,31,57.03125,69.63350785,36.45833333,55.46875,78,26,54.6479603,28.30188679,97.16981132,3.529411765,62.73584906,46.22641509,24.21383648,35.22012579,50.86797838,52.53164557
Austin Reaves,Oklahoma,2021,SG,SG,PG,SG,1,8,8.25,"6'4.5""",76.5,"8'5""",101,"6'6.25""",78.25,197.2,10.94,3.19,3.07,25,35,75.67114094,48.99328859,11.74496644,36.7003367,5.288461538,4.807692308,43.27743317,65.25096525,93.48659004,16.90140845,79.36877764,39.8467433,4.905660377,22.37620184,48.34080422,43.42629482
Ayo Dosunmu,Illinois,2021,SG,SG,PG-SF,SG,1,8.5,8.75,"6'3.5""",75.5,"8'6""",102,"6'10.25""",82.25,194.4,11.51,3.27,3.23,27,33.5,37.58389262,67.61744966,79.53020134,29.46127946,42.54807692,20.19230769,53.54820577,18.72586873,45.97701149,7.042253521,32.35144011,23.75478927,15.47169811,19.61324369,35.17096319,17.1314741
Brandon Boston Jr.,Kentucky,2021,SF,SF,SG,SF,1,9,9.75,"6'5.75""",77.75,"8'8""",104,"6'10.75""",82.75,188,,,,,,37.06293706,47.2027972,49.18414918,3.03030303,74.8015873,73.01587302,34.12004662,,,,,,,,,
Brandon Kurtz,,2000,PF-C,PF,C,C,0,,,"6'9.5""",81.5,"8'10.5""",106.5,"6'11.25""",83.25,257,,,,,,25.38860104,7.552083333,4.922279793,74.87046632,,,28.18335762,,,,,,,,,
Brian Montonati,,2000,PF,PF,SF-C,SF,0,,,"6'8.75""",80.75,"8'10""",106,"6'10.5""",82.5,215,11.85,,3.53,25,29,98.13953488,79.53488372,46.74418605,53.72093023,,,69.53488372,13.78865979,1.030927835,,7.409793814,3.333333333,6.041131105,4.687232219,27.21063658,5.936675462
Carlik Jones,,2021,PG,PG,SG,PG,1,8.25,9,"6'0""",72,"8'1.5""",97.5,"6'5""",77,173.6,10.96,3.23,3.16,31.5,36,26.26404494,51.40449438,42.2752809,15.77464789,44.27860697,49.50248756,33.92961703,60.79365079,69.26751592,13.21428571,65.03058336,51.43312102,73.01587302,62.22449702,53.72823247,54.04530744
Charles Bassey,Western Kentucky,2021,C,C,PF,C,1,9,9.5,"6'9.25""",81.25,"8'11.5""",107.5,"7'3""",87,230.2,12.19,3.33,3.13,33,36,21.09375,12.04188482,45.3125,21.61458333,29.6,26,25.01567954,29.55974843,95.59748428,18.82352941,62.57861635,87.10691824,94.96855346,91.03773585,59.54401058,70.88607595
Corey Kispert,Gonzaga,2021,SF,SF,SG-PF,SF,1,8.75,10,"6'6""",78,"8'6""",102,"6'7""",79,223.8,10.91,2.99,3.12,30,37.5,46.03729604,16.66666667,3.846153846,76.92307692,52.57936508,83.53174603,35.86829837,82.2997416,87.85529716,70,85.07751938,75.83547558,56.44329897,66.13938727,62.36173501,80.21108179
Daishen Nix,G League Ignite,2021,PG,PG,SG,PG,1,8.5,9,"6'3""",75,"8'4""",100,"6'6.75""",78.75,225.6,11.72,3.18,3,29.5,36.5,81.17977528,83.28651685,65.73033708,99.71830986,71.64179104,49.50248756,82.47873477,7.936507937,98.40764331,20,53.17207562,56.68789809,47.14285714,51.91537762,62.52206267,77.02265372
David Duke Jr.,Providence,2021,SG,SG,PG,SG,1,8.5,9,"6'4.25""",76.25,"8'6.5""",102.5,"6'8.75""",80.75,203.6,11.21,3.19,3.08,30,39,65.77181208,76.00671141,52.18120805,55.89225589,42.54807692,32.69230769,62.46299686,38.996139,91.57088123,16.90140845,65.28351011,81.99233716,52.64150943,67.3169233,65.02114342,80.87649402
David Johnson,Louisville,2021,SG,SG,PG,SG,1,8.25,8.5,"6'3.25""",75.25,"8'8""",104,"6'10.5""",82.5,202.8,12.02,3.2,3.03,33,39,30.53691275,94.96644295,83.05369128,53.53535354,17.06730769,11.53846154,65.52310013,3.474903475,96.9348659,14.43661972,50.20488469,81.99233716,85.47169811,83.73201764,66.48666749,83.26693227
Davion Mitchell,Baylor,2021,PG,PG,SG,PG,1,8.25,8.75,"6'0""",72,"8'0.5""",96.5,"6'4.25""",76.25,202.4,,,,,,26.26404494,39.46629213,35.95505618,88.5915493,44.27860697,33.08457711,47.56923564,,,,,,,,,
Brian Montonati,,2000,PF,PF,SF-C,C,0,,,"6'8.75""",80.75,"8'10""",106,"6'10.5""",82.5,215,11.85,,3.53,25,29,11.39896373,5.208333333,1.813471503,4.663212435,,,5.77099525,48.75,18.4375,,33.59375,22.8125,27.1875,25,21.45491508,0.9493670886
DJ Steward,Duke,2021,PG,PG,SG,PG,1,8.5,9,"6'0.75""",72.75,"8'2.5""",98.5,"6'7""",79,162.2,11.14,3.1,3.08,34.5,38.5,42.83707865,66.01123596,69.1011236,2.535211268,71.64179104,49.50248756,45.12116237,41.58730159,88.53503185,38.21428571,65.06116672,77.86624204,95.07936508,86.47280356,65.55171088,83.49514563
Duane Washington Jr.,Ohio State,2021,SG,PG,SG,PG,1,8.25,8.75,"6'2.25""",74.25,"8'5""",101,"6'7.75""",79.75,196.8,11.5,3.06,3.17,29.5,35.5,72.75280899,90.16853933,80.75842697,78.87323944,44.27860697,33.08457711,80.63825368,17.14285714,65.92356688,49.28571429,41.53321201,47.61146497,47.14285714,47.37716106,56.51620892,62.78317152
Caswell Cyrus,,2000,PF,PF,SF-C,SF,0,,,"6'7.75""",79.75,"8'11.5""",107.5,"7'2""",86,220.5,12.12,,3.16,33.5,37.5,91.86046512,94.65116279,91.86046512,69.06976744,,,86.86046512,6.443298969,79.51030928,,42.97680412,75.76923077,89.71722365,82.74322721,70.86016548,93.27176781
Greg Brown III,Texas,2021,PF,SF,PF,SF,1,9,9.75,"6'7.25""",79.25,"8'11""",107,"7'0.25""",84.25,206.4,10.98,2.98,3.19,33.5,39,81.7016317,90.67599068,74.70862471,27.97202797,74.8015873,73.01587302,68.76456876,76.61498708,71.83462532,71.76470588,74.2248062,87.01799486,89.81958763,88.41879124,77.1360554,98.41688654
Herbert Jones,Alabama,2021,SF,SF,SG-PF,SF,1,8.5,9,"6'6""",78,"8'10""",106,"7'0.25""",84.25,206.4,11.02,3.17,3.25,28.5,36.5,46.03729604,79.6037296,74.70862471,27.97202797,30.15873016,26.58730159,57.08041958,72.22222222,50.7751938,30,61.49870801,65.42416452,35.56701031,50.49558742,56.35823834,66.22691293
Caswell Cyrus,,2000,PF,PF,SF-C,C,0,,,"6'7.75""",79.75,"8'11.5""",107.5,"7'2""",86,220.5,12.12,,3.16,33.5,37.5,4.663212435,12.23958333,27.20207254,8.808290155,,,13.22828962,33.125,93.125,,63.125,94.375,95.9375,95.15625,57.16984654,66.13924051
Isaiah Livers,Michigan,2021,SF,SF,PF,SF,1,9,9.5,"6'5.75""",77.75,"8'8.5""",104.5,"6'9.25""",81.25,231.8,,,,,,37.06293706,57.45920746,24.35897436,88.46153846,74.8015873,58.92857143,51.83566434,,,,,,,,,
Isaiah Mobley,USC,2021,PF,PF,SF-C,PF,1,9,10,"6'8""",80,"8'11.5""",107.5,"7'3""",87,238,12.7,3.5,3.3,26.5,32,41.66666667,55.3652968,78.31050228,55.47945205,50.69767442,65.58139535,57.70547945,6.582278481,52.04081633,4.651162791,29.3115474,37.46835443,26.38888889,31.92862166,39.64854951,25.51546392
Isaiah Todd,G League Ignite,2021,PF,PF,SF-C,PF,1,9,9.75,"6'8.75""",80.75,"8'11.5""",107.5,"7'1.25""",85.25,219,11.38,3.25,3.31,28.5,35.5,67.35159817,55.3652968,52.05479452,17.23744292,50.69767442,51.62790698,48.00228311,64.17721519,48.59693878,26.35658915,56.38707698,76.96202532,52.65151515,64.80677023,56.39871011,63.40206186
Jaden Springer,Tennessee,2021,SG,SG,PG,SG,1,8.5,9.75,"6'3""",75,"8'3""",99,"6'7.75""",79.75,202,11.46,3.1,3.13,34.5,41.5,23.15436242,17.28187919,33.55704698,52.02020202,42.54807692,79.32692308,31.50337265,21.62162162,80.45977011,40.84507042,51.04069587,93.8697318,95.47169811,94.67071496,59.07159449,70.91633466
Ceedric Goodwyn,,2000,SF-PF,SF,PF,PF,0,,,"6'6""",78,"8'8.5""",104.5,"6'10""",82,238,,,,,,5.922551253,11.50341686,6.833712984,55.46697039,,,19.93166287,,,,,,,,,
Jalen Johnson,Duke,2021,PF,SF,PF,SF,1,9.75,10.5,"6'7.75""",79.75,"8'10""",106,"7'0.25""",84.25,209.6,,,,,,91.95804196,79.6037296,74.70862471,36.82983683,99.4047619,97.81746032,70.77505828,,,,,,,,,
James Bouknight,UConn,2021,SG,SG,PG,SG,1,8.75,9,"6'3.5""",75.5,"8'5.5""",101.5,"6'8.25""",80.25,190,,,,,,37.58389262,59.06040268,43.79194631,19.6969697,70.43269231,32.69230769,40.03330283,,,,,,,,,
Jared Butler,Baylor,2021,PG,PG,SG,PG,1,8.5,8.25,"6'2.25""",74.25,"8'2.5""",98.5,"6'4""",76,193,,,,,,72.75280899,66.01123596,32.16292135,67.04225352,71.64179104,10.44776119,59.49230495,,,,,,,,,
Jason Preston,Ohio,2021,PG,PG,SG,PG,1,8.5,9.25,"6'3""",75,"8'4.5""",100.5,"6'8.5""",80.5,180.6,10.82,3.08,3.13,30.5,38.5,81.17977528,87.64044944,87.5,33.66197183,71.64179104,65.67164179,72.49554914,72.6984127,78.18471338,45,75.44156304,77.86624204,60.47619048,69.17121626,72.36944281,95.46925566
Jeremiah Robinson-Earl,Villanova,2021,PF,PF,C,PF,1,9,9.75,"6'7.75""",79.75,"8'9.5""",105.5,"6'9.75""",81.75,242.4,11.64,3.15,3.29,27,32,35.95890411,20.89041096,4.908675799,67.92237443,50.69767442,51.62790698,32.42009132,45.44303797,56.12244898,43.02325581,50.78274348,37.46835443,32.44949495,34.95892469,39.38725316,24.48453608
Jericho Sims,Texas,2021,C,C,PF,C,1,9,9.75,"6'9""",81,"8'10""",106,"7'3.25""",87.25,250.2,11.59,3.38,3.05,37,44.5,15.36458333,4.97382199,50.26041667,64.0625,29.6,37.2,33.6653305,68.55345912,100,14.11764706,84.27672956,100,99.68553459,99.8427673,72.59494245,94.93670886
Joe Wieskamp,Iowa,2021,SF,SF,SG-PF,SF,1,8.5,9.25,"6'5.75""",77.75,"8'7""",103,"6'11""",83,204.8,10.7,3.18,3.04,30,42,37.06293706,29.83682984,53.14685315,23.54312354,30.15873016,42.65873016,35.8974359,91.21447028,98.4496124,27.35294118,94.83204134,97.94344473,56.44329897,77.19337185,69.30761636,91.29287599
John Petty Jr.,Alabama,2021,SG,SG,SF,SG,1,8.5,9,"6'4.5""",76.5,"8'7.5""",103.5,"6'9.5""",81.5,186.2,11.51,3.17,3.35,27.5,34,75.67114094,89.59731544,66.94630872,13.13131313,42.54807692,32.69230769,61.33651956,18.72586873,13.79310345,21.83098592,16.25948609,28.5440613,22.0754717,25.3097665,34.30192405,15.93625498
Johnny Juzang,UCLA,2021,SG,SG,SF,SG,1,8.5,9.5,"6'5.5""",77.5,"8'4.5""",100.5,"6'10.5""",82.5,209,11.13,3.08,3.13,31,36.5,94.96644295,38.25503356,83.05369128,70.37037037,42.54807692,63.94230769,71.66138454,44.78764479,80.45977011,45.07042254,62.62370745,59.00383142,63.77358491,61.38870816,65.22460005,81.2749004
Chris Porter,,2000,SF-PF,SF,PF,PF,0,,,"6'5.5""",77.5,"8'7.5""",103.5,"6'9.5""",81.5,214,10.93,,3.2,28.5,35,3.075170843,6.036446469,3.302961276,11.04783599,,,5.865603645,90.27777778,86.38676845,,88.33227311,70.45454545,52.64483627,61.54969086,51.91585587,51.15979381
Josh Christopher,Arizona State,2021,SG,SG,PG,SG,1,8.75,8.5,"6'3.25""",75.25,"8'5""",101,"6'9.25""",81.25,214.8,11.32,3.3,3.14,29.5,37.5,30.53691275,48.99328859,62.91946309,85.85858586,70.43269231,11.53846154,57.07706257,34.74903475,77.01149425,5.633802817,55.8802645,67.43295019,46.41509434,56.92402227,56.62711645,66.13545817
Joshua Primo,Alabama,2021,SG,SF,PG-SF,SF,1,9,10,"6'4""",76,"8'6.5""",102.5,"6'9.25""",81.25,189,10.97,3.36,3.22,30.5,37.5,2.214452214,22.49417249,24.35897436,3.962703963,74.8015873,83.53174603,13.25757576,77.64857881,61.11111111,4.705882353,69.37984496,75.83547558,63.65979381,69.7476347,50.79501847,50.39577836
JT Thor,Auburn,2021,PF,PF,C,PF,1,9.25,9.5,"6'8.5""",80.5,"9'2""",110,"7'3.25""",87.25,203,12.19,3.08,3.06,31.5,35,57.76255708,93.26484018,81.62100457,3.196347032,75.58139535,36.97674419,58.96118721,16.32911392,99.48979592,58.13953488,57.90945492,70.50632911,83.45959596,76.98296254,64.61786822,84.27835052
Julian Champagnie,St. John's,2021,SF,SF,SG-PF,SF,1,9,8.5,"6'6.5""",78.5,"8'10.5""",106.5,"6'10""",82,217.4,12.38,3.2,3.2,26,32,62.47086247,85.66433566,37.17948718,58.85780886,74.8015873,7.142857143,61.04312354,3.100775194,68.34625323,23.82352941,35.72351421,18.76606684,11.46907216,15.1175695,37.29473575,18.73350923
Justin Champagnie,Pittsburgh,2021,PF,SF,PF,SF,1,8.75,8.5,"6'5.75""",77.75,"8'8""",104,"6'9.5""",81.5,206.4,11.94,3.14,3.34,27,35,37.06293706,47.2027972,28.67132867,27.97202797,52.57936508,7.142857143,35.22727273,10.98191214,24.16020672,35.88235294,17.57105943,48.20051414,18.29896907,33.24974161,28.68269125,7.387862797
Kai Jones,Texas,2021,PF,PF,C,PF,1,9,9.5,"6'10""",82,"9'2.5""",110.5,"7'1.75""",85.75,221.4,,,,,,95.20547945,96.57534247,60.38812785,22.03196347,50.69767442,36.97674419,68.55022831,,,,,,,,,
Keon Johnson,Tennessee,2021,SG,SG,PG-PF,SG,1,8.5,9,"6'3.5""",75.5,"8'1""",97,"6'7.25""",79.25,184.8,11.45,3.2,3,41.5,48,37.58389262,2.852348993,27.01342282,10.77441077,42.54807692,32.69230769,19.5560188,23.16602317,98.08429119,14.43661972,60.62515718,100,100,100,60.06039199,71.71314741
Kessler Edwards,Pepperdine,2021,PF,SF,PF,SF,1,8.5,8.25,"6'7""",79,"8'10""",106,"6'11.25""",83.25,203,11.3,3.38,3.25,28,37,75.29137529,79.6037296,56.87645688,21.32867133,30.15873016,2.380952381,58.27505828,49.48320413,50.7751938,3.235294118,50.12919897,71.20822622,29.3814433,50.29483476,52.89969733,55.14511873
Luka Garza,Iowa,2021,C,C,PF,C,1,9,9.25,"6'10""",82,"8'11.5""",107.5,"7'1.5""",85.5,242.8,11.9,3.38,3.51,24,29.5,33.33333333,12.04188482,21.61458333,48.95833333,29.6,15.2,28.9870337,46.85534591,22.01257862,14.11764706,34.43396226,26.10062893,17.61006289,21.85534591,28.42544729,5.063291139
Makur Maker,Capital City,2021,C,C,PF,C,1,8.75,9.5,"6'10.25""",82.25,"9'4""",112,"7'1.75""",85.75,232.2,11.87,3.28,3.34,25.5,31,41.92708333,75.91623037,23.95833333,24.73958333,13.2,26,41.63530759,47.79874214,64.77987421,28.23529412,56.28930818,46.22641509,28.93081761,37.57861635,45.16774404,38.60759494
Marcus Bagley,,2021,SF,SF,SG-PF,SF,1,8.75,8.5,"6'6""",78,"8'6.5""",102.5,"6'11""",83,216.8,12.26,3.1,3.17,32.5,38.5,46.03729604,22.49417249,53.14685315,57.22610723,52.57936508,7.142857143,44.72610723,3.617571059,77.26098191,44.11764706,40.43927649,83.80462725,83.7628866,83.78375692,56.31638021,65.96306069
Marcus Zegarowski,Creighton,2021,PG,PG,SG,PG,1,8,9.5,"6'0.75""",72.75,"8'0""",96,"6'2.75""",74.75,180.8,11.47,3.26,3.11,30,35.5,42.83707865,32.7247191,17.83707865,34.08450704,20.14925373,80.34825871,31.87084586,19.68253968,81.52866242,9.285714286,50.60560105,47.61146497,53.80952381,50.71049439,44.3956471,33.65695793
Matt Hurt,,2021,PF,PF,SF,PF,1,9,9,"6'8.5""",80.5,"8'10.5""",106.5,"6'9.5""",81.5,232.4,11.44,3.25,3.34,25.5,32.5,57.76255708,35.50228311,3.196347032,43.37899543,50.69767442,14.41860465,34.96004566,61.01265823,41.32653061,26.35658915,51.16959442,44.55696203,14.26767677,29.4123194,38.51398649,21.90721649
Max Abmas,,2021,PG,PG,,PG,1,8,7.75,"5'10.5""",70.5,"7'10""",94,"6'1.75""",73.75,161.8,10.9,3.49,3.12,28.5,32.5,8.988764045,14.88764045,8.56741573,1.971830986,20.14925373,2.985074627,8.603912803,65.55555556,79.77707006,2.142857143,72.66631281,17.03821656,33.17460317,25.10640987,35.45887849,18.77022654
McKinley Wright IV,Colorado,2021,PG,PG,,PG,1,8.5,9,"5'11.25""",71.25,"7'10""",94,"6'5.25""",77.25,192.2,10.76,3.12,3.08,31.5,38,16.15168539,14.88764045,44.94382022,64.78873239,71.64179104,49.50248756,35.19296962,77.14285714,88.53503185,32.5,82.83894449,73.56687898,73.01587302,73.291376,63.77443004,79.61165049
Miles McBride,West Virginia,2021,PG,PG,SG,PG,1,9,9.5,"6'1""",73,"8'3.5""",99.5,"6'8.75""",80.75,195.2,11.08,3.13,3.1,31,38.5,49.43820225,77.80898876,89.04494382,72.53521127,96.0199005,80.34825871,72.20683652,47.61904762,84.55414013,30,66.08659387,77.86624204,66.66666667,72.26645435,70.18662825,91.90938511
Moses Moody,Arkansas,2021,SG,SG,SF,SG,1,9,10,"6'4.5""",76.5,"8'9""",105,"7'0.75""",84.75,210.6,,,,,,75.67114094,98.82550336,98.82550336,75.42087542,88.46153846,89.42307692,87.18575577,,,,,,,,,
Moses Wright,,2021,PF,PF,SF-C,PF,1,9,9.5,"6'7.75""",79.75,"8'11""",107,"7'0.75""",84.75,225.8,11.2,3.42,3.15,31.5,38,35.95890411,45.77625571,43.72146119,29.9086758,50.69767442,36.97674419,38.8413242,78.86075949,93.75,6.976744186,86.30537975,94.55696203,83.45959596,89.00827899,71.38499431,94.32989691
Nah'Shon Hyland,VCU,2021,SG,SG,PG-SF,SG,1,8.75,9,"6'2""",74,"8'5.5""",101.5,"6'9.25""",81.25,169,10.53,3.17,3.1,26.5,34,4.530201342,59.06040268,62.91946309,1.346801347,70.43269231,32.69230769,31.96421712,94.20849421,87.93103448,21.83098592,91.06976435,28.5440613,10.94339623,19.74372876,47.59257008,41.83266932
Neemias Queta,Utah State,2021,C,C,,C,1,9.25,10.5,"6'11.25""",83.25,"9'4.5""",112.5,"7'4""",88,248.4,11.85,3.5,3.29,27,33,69.01041667,80.89005236,61.19791667,59.63541667,56.4,80,67.68345059,48.74213836,75.47169811,4.705882353,62.10691824,67.29559748,47.16981132,57.2327044,62.34102441,75.94936709
Ochai Agbaji,Kansas,2021,SG,SG,SF,SG,1,9,8.75,"6'4.5""",76.5,"8'7.5""",103.5,"6'10""",82,214.4,10.88,3.1,3.13,32,41.5,75.67114094,89.59731544,75,84.84848485,88.46153846,20.19230769,81.27923531,70.65637066,80.45977011,40.84507042,75.55807039,93.8697318,76.22641509,85.04807345,80.62845971,98.80478088
Quentin Grimes,Houston,2021,SG,SG,PG-SF,SG,1,8.5,10,"6'4""",76,"8'5""",101,"6'8""",80,205,11.09,3.33,3.07,30.5,38.5,54.86577181,48.99328859,38.25503356,61.61616162,42.54807692,89.42307692,50.93256389,49.80694981,93.48659004,4.225352113,71.64676992,78.35249042,58.86792453,68.61020747,63.7298471,77.68924303
