Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,R-L %ile,R-L z-score,Redraft Top 30,R-T30 %ile,R-T30 z-score,Redraft Top 60,R-T60 %ile,R-T60 z-score,EPM Lottery,EPM-L %ile,EPM-L z-score,EPM Top 30,EPM-T30 %ile,EPM-T30 z-score,EPM Top 60,EPM-T60 %ile,EPM-T60 z-score,EW Lottery,EW-L %ile,EW-L z-score,EW Top 30,EW-T30 %ile,EW-T30 z-score,EW Top 60,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
@Double_PG,2023,60,3.474,0.099,-1.13,5.269,0.101,-0.91,6.719,0.27,-0.50,0.349,0.028,-2.26,0.537,0.058,-1.67,0.725,0.071,-1.09,454.208,0.514,0.03,447.974,0.771,0.80,468.717,0.921,0.99,1.141,0.375,-0.20,1.172,0.929,1.50,1.475,0.632,0.23,1.66,0.972,1.37,1.519,1,1.77,1.828,0.632,0.22,0.402,23,0.694,1.358,1,1.000,0.480,11,0.737,,,,,,,,,,,,,,,,,,,,,,,,,,,
@D13Drafts,2023,60,2.759,0.211,-0.61,4.056,0.261,-0.23,6.782,0.243,-0.53,0.626,0.423,0.07,0.749,0.42,0.17,0.778,0.381,-0.27,473.35,0.278,-0.37,447.617,0.786,0.81,524.19,0.237,-0.79,1.053,0.708,0.51,1.167,0.943,1.56,1.57,0.237,-0.68,1.745,0.917,0.95,1.853,0.414,-0.02,1.677,0.868,1.05,0.362,24,0.681,0.784,11,0.857,-0.140,21,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GMB2K,2023,60,1.307,0.62,0.44,2.474,0.739,0.65,3.816,0.73,0.79,0.67,0.62,0.44,0.76,0.522,0.27,0.83,0.667,0.54,396.97,0.889,1.25,444.934,0.843,0.88,497.796,0.474,0.06,0.929,0.944,1.51,1.354,0.286,-0.68,1.554,0.289,-0.53,2.027,0.236,-0.44,1.691,0.843,0.85,1.945,0.342,-0.42,0.774,13,0.833,0.352,27,0.629,-0.295,25,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,
@soupdrafts,2023,60,3.303,0.127,-1.00,4.975,0.145,-0.75,7.956,0.081,-1.06,0.525,0.197,-0.78,0.773,0.609,0.38,0.727,0.119,-1.06,469.367,0.333,-0.29,477.79,0.386,-0.01,498.458,0.447,0.04,1.306,0.083,-1.52,1.335,0.329,-0.45,1.565,0.263,-0.63,1.756,0.889,0.90,1.74,0.729,0.59,1.892,0.447,-0.13,-0.306,53,0.278,0.042,36,0.500,-0.240,22,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Davis_Ray10,2023,60,1.413,0.592,0.36,2.006,0.899,0.91,3.155,0.946,1.09,0.648,0.535,0.26,0.88,0.971,1.31,0.86,0.857,1.01,385.001,0.944,1.51,444.935,0.829,0.88,507.201,0.368,-0.24,0.983,0.889,1.07,1.294,0.557,0.04,1.442,0.711,0.54,1.917,0.486,0.10,1.709,0.814,0.75,2.076,0.105,-1.13,0.895,7,0.917,0.559,19,0.743,-0.279,23,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,
@thebigwafe,2023,60,1.226,0.662,0.49,5.247,0.116,-0.90,12.345,0,-3.01,0.741,0.873,1.04,0.736,0.391,0.06,0.799,0.476,0.06,393.068,0.931,1.34,441.664,0.871,0.97,469.483,0.895,0.97,0.857,1,2.09,1.249,0.7,0.58,1.317,0.974,1.73,1.829,0.736,0.54,1.753,0.671,0.52,1.855,0.553,0.07,1.320,1,1.000,0.689,14,0.814,0.923,5,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,
@shello510,2023,60,0.929,0.746,0.71,3.153,0.565,0.27,4.308,0.676,0.57,0.556,0.239,-0.52,0.837,0.855,0.94,0.874,0.929,1.23,413.54,0.792,0.90,480.838,0.343,-0.09,545.695,0.079,-1.48,0.993,0.847,0.99,1.373,0.2,-0.91,1.503,0.474,-0.04,1.927,0.458,0.05,2.067,0.071,-1.17,1.961,0.263,-0.51,0.649,16,0.792,-0.723,61,0.143,-0.675,32,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
@EDemirNBA,2023,60,2.35,0.254,-0.32,3.723,0.377,-0.05,7.009,0.189,-0.63,0.648,0.535,0.26,0.654,0.188,-0.65,0.752,0.262,-0.67,518.542,0.111,-1.34,503.635,0.171,-0.71,485.988,0.579,0.44,1.394,0.028,-2.23,1.382,0.171,-1.01,1.615,0.079,-1.11,2.385,0.028,-2.21,2.204,0.029,-1.90,2.084,0.079,-1.18,-1.925,71,0.028,-1.211,66,0.071,-0.615,30,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,
@tanguyromclav,2023,60,1.427,0.577,0.35,3.076,0.58,0.31,3.463,0.838,0.95,0.705,0.746,0.74,0.75,0.449,0.18,0.835,0.69,0.62,476.126,0.264,-0.43,504.101,0.157,-0.73,489.678,0.526,0.32,1.158,0.319,-0.33,1.367,0.214,-0.84,1.545,0.342,-0.44,1.863,0.625,0.37,1.892,0.343,-0.23,1.821,0.684,0.26,-0.133,45,0.389,-0.597,59,0.171,0.047,20,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBRR,2023,60,2.905,0.197,-0.72,5.245,0.13,-0.90,7.325,0.135,-0.77,0.538,0.211,-0.67,0.645,0.145,-0.73,0.718,0.048,-1.20,528.221,0.097,-1.54,526.926,0.086,-1.35,565.994,0,-2.13,1.409,0,-2.35,1.408,0.071,-1.33,1.517,0.395,-0.17,1.892,0.542,0.22,1.805,0.557,0.24,2.372,0,-2.75,-1.224,67,0.083,-0.811,63,0.114,-1.685,38,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,
