Rank,Name,Role,Pre-NBA,NBA Team,Actual Pick,Class,Height,Weight (lbs),NCAAM,combine_invite
12,Trentyn Flowers,Guard,Adelaide,Los Angeles Clippers,UDFA,19,"6'8""",185,0,NBA
13,Nikola Djurisic,Wing,KK Mega Basket,Atlanta Hawks,43,20,"6'8""",214,0,NBA
14,Melvin Ajinca,Wing,Saint-Quentin,Dallas Mavericks,51,20,"6'7""",210,0,NBA
15,Ariel Hukporti,Big,Melbourne,New York Knicks,58,22,"7'0""",246,0,NBA
16,Mantas Rubstavicius,Wing,New Zealand,Golden State Warriors,UDFA,22,"6'6""",185,0,G-League
17,Armel Traoré,Big,ADA Blois,Los Angeles Lakers,UDFA,21,"6'8""",210,0,None
18,Babacar Sane,Wing,G League Ignite,Utah Jazz,UDFA,21,"6'6""",230,0,G-League
19,Bryson Warren,Guard,Sioux Falls,Miami Heat,UDFA,20,"6'3""",174,0,G-League
20,Quinn Ellis,Guard,Trento,Portland Trail Blazers,UDFA,21,"6'4""",194,0,None
21,Taran Armstrong,Guard,Cairns,Golden State Warriors,UDFA,22,"6'6""",190,0,G-League
