Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Wendell Moore Jr.,2022,Wing,ACC,Duke,#003087,26,Minnesota Timberwolves,MIN,20.75,77.5,"6'5.5""",84.5,"7'0.5""",7,217
Nikola Jovic,2022,Wing,Adriatic ABA,KK Mega Basket,#CB2F6D,27,Miami Heat,MIA,19.03,81.5,"6'9.5""",84.25,"7'0.25""",2.75,223
Patrick Baldwin Jr.,2022,Wing,Horizon,Milwaukee,#FFBD00,28,Golden State Warriors,GSW,19.58,81.25,"6'9.25""",85.75,"7'1.75""",4.5,231
TyTy Washington Jr.,2022,Guard,SEC,Kentucky,#0033A0,29,Houston Rockets,HOU,20.59,74.25,"6'2.25""",80,"6'8""",5.75,196
Peyton Watson,2022,Wing,PAC 12,UCLA,#2D68C4,30,Denver Nuggets,DEN,19.77,78.75,"6'6.75""",84.5,"7'0.5""",5.75,203
Andrew Nembhard,2022,Guard,WCC,Gonzaga,#C8102E,31,Indiana Pacers,IND,22.42,75,"6'3""",77.75,"6'5.75""",2.75,196
Caleb Houstan,2022,Wing,Big 10,Michigan,#FFCB05,32,Orlando Magic,ORL,19.44,79.5,"6'7.5""",83,"6'11""",3.5,205
Christian Koloko,2022,Big,PAC 12,Arizona,#CC0033,33,Toronto Raptors,TOR,22,82.75,"6'10.75""",89.25,"7'5.25""",6.5,221
Jaylin Williams,2022,Big,SEC,Arkansas,#9D2235,34,Oklahoma City Thunder,OKC,19.97,80.75,"6'8.75""",85,"7'1""",4.25,237
Max Christie,2022,Wing,Big 10,Michigan State,#18453B,35,Los Angeles Lakers,LAL,19.35,76.25,"6'4.25""",80.75,"6'8.75""",4.5,189
Gabriele Procida,2022,Wing,Italian Serie A,Fortitudo Bologna,#193F80,36,Detroit Pistons,DET,20.05,77.75,"6'5.75""",80,"6'8""",2.25,193
Jaden Hardy,2022,Guard,G League,G League Ignite,#8C2A93,37,Dallas Mavericks,DAL,19.96,75.5,"6'3.5""",81,"6'9""",5.5,190
Kennedy Chandler,2022,Guard,SEC,Tennessee,#FF8200,38,Memphis Grizzlies,MEM,19.76,71.5,"5'11.5""",77.25,"6'5.25""",5.75,172
Khalifa Diop,2022,Big,Spanish ACB,CB Gran Canaria,#F5BC44,39,Cleveland Cavaliers,CLE,20.42,83,"6'11""",86,"7'2""",3,230
Bryce McGowens,2022,Guard,Big 10,Nebraska,#E41C38,40,Charlotte Hornets,CHA,19.61,77.25,"6'5.25""",80.75,"6'8.75""",3.5,181
E.J. Liddell,2022,Wing,Big 10,Ohio State,#BB0000,41,New Orleans Pelicans,NOP,21.5,77.5,"6'5.5""",83.75,"6'11.75""",6.25,243
Trevor Keels,2022,Guard,ACC,Duke,#003087,42,New York Knicks,NYK,18.81,75.25,"6'3.25""",79.25,"6'7.25""",4,224
Moussa Diabate,2022,Big,Big 10,Michigan,#FFCB05,43,Los Angeles Clippers,LAC,20.41,81.25,"6'9.25""",86.5,"7'2.5""",5.25,217
Ryan Rollins,2022,Guard,MAC,Toledo,#FFDA00,44,Golden State Warriors,GSW,19.96,74,"6'2""",81.75,"6'9.75""",7.75,179
Josh Minott,2022,Wing,American,Memphis,#003087,45,Minnesota Timberwolves,MIN,20.46,79.5,"6'7.5""",83.75,"6'11.75""",4.25,205
Ismael Kamagate,2022,Big,French LNB Élite,Paris Basketball,#1D49F5,46,Denver Nuggets,DEN,21.42,83,"6'11""",87,"7'3""",4,230
Vince Williams Jr.,2022,Wing,A-10,VCU,#FFB300,47,Memphis Grizzlies,MEM,21.8,76,"6'4""",83,"6'11""",7,205
Kendall Brown,2022,Wing,Big 12,Baylor,#154734,48,Indiana Pacers,IND,19.11,78.25,"6'6.25""",83,"6'11""",4.75,201
Isaiah Mobley,2022,Big,PAC 12,USC,#990000,49,Cleveland Cavaliers,CLE,22.73,80,"6'8""",87,"7'3""",7,238
Matteo Spagnolo,2022,Guard,Italian Serie A,Vanoli Cremona,#54AFE7,50,Minnesota Timberwolves,MIN,19.44,76,"6'4""",80,"6'8""",4,196
Tyrese Martin,2022,Wing,Big East,UConn,#E4002B,51,Atlanta Hawks,ATL,23.28,77.5,"6'5.5""",80,"6'8""",2.5,216
Karlo Matkovic,2022,Big,Adriatic ABA,KK Mega Basket,#CB2F6D,52,New Orleans Pelicans,NOP,21.22,81,"6'9""",86,"7'2""",5,231
JD Davison,2022,Guard,SEC,Alabama,#9E1B32,53,Boston Celtics,BOS,19.71,72.5,"6'0.5""",78.5,"6'6.5""",6,192
Yannick Nzosa,2022,Big,Spanish ACB,Baloncesto Málaga,#285428,54,Washington Wizards,WAS,18.59,82,"6'10""",89,"7'5""",7,215
Gui Santos,2022,Wing,Brazilian NBB,Minas,#1A4272,55,Golden State Warriors,GSW,19.99,79,"6'7""",83,"6'11""",4,210
Luke Travers,2022,Guard,Aus. NBL,Perth,#ED1D24,56,Cleveland Cavaliers,CLE,20.79,78.5,"6'6.5""",82,"6'10""",3.5,199
Jabari Walker,2022,Wing,PAC 12,Colorado,#CFB87C,57,Portland Trail Blazers,POR,19.89,78.75,"6'6.75""",82.75,"6'10.75""",4,214
Hugo Besson,2022,Guard,Aus. NBL,New Zealand,#DA73A4,58,Milwaukee Bucks,MIL,21.15,76.5,"6'4.5""",77.5,"6'5.5""",1,180
Scotty Pippen Jr.,2022,Guard,SEC,Vanderbilt,#866D4B,UDFA,Los Angeles Lakers,LAL,21.62,72,"6'0""",77.75,"6'5.75""",5.75,180
Dominick Barlow,2022,Wing,Overtime Elite,Team Overtime,#B0DAED,UDFA,San Antonio Spurs,SAS,19.07,80.75,"6'8.75""",87,"7'3""",6.25,221
Tevin Brown,2022,Guard,OVC,Murray State,#ECAC00,UDFA,Indiana Pacers,IND,23.74,75.75,"6'3.75""",78.25,"6'6.25""",2.5,175
John Butler Jr.,2022,Big,ACC,Florida State,#782F40,UDFA,New Orleans Pelicans,NOP,19.54,83.75,"6'11.75""",86.25,"7'2.25""",2.5,174
Julian Champagnie,2022,Wing,Big East,St. John's,#BA0C2F,UDFA,Philadelphia 76ers,PHI,20.97,78.25,"6'6.25""",82,"6'10""",3.75,212
Kofi Cockburn,2022,Big,Big 10,Illinois,#E84A27,UDFA,Utah Jazz,UTA,22.8,83,"6'11""",88.25,"7'4.25""",5.25,293
Keon Ellis,2022,Guard,SEC,Alabama,#9E1B32,UDFA,Sacramento Kings,SAC,22.44,75.5,"6'3.5""",80.5,"6'8.5""",5,167
Jordan Hall,2022,Guard,A-10,Saint Joseph's,#9E1B32,UDFA,San Antonio Spurs,SAS,20.43,79.25,"6'7.25""",81,"6'9""",1.75,210
Ron Harper Jr.,2022,Wing,Big 10,Rutgers,#CC0033,UDFA,Toronto Raptors,TOR,22.19,76,"6'4""",85.25,"7'1.25""",9.25,240
Johnny Juzang,2022,Wing,PAC 12,UCLA,#2D68C4,UDFA,Utah Jazz,UTA,21.09,77.25,"6'5.25""",83,"6'11""",5.75,209
Kenneth Lofton Jr.,2022,Big,C-USA,Louisiana Tech,#003087,UDFA,Memphis Grizzlies,MEM,19.85,78,"6'6""",83,"6'11""",5,275
Orlando Robinson,2022,Big,Mountain West,Fresno State,#DB0032,UDFA,Miami Heat,MIA,21.94,81.75,"6'9.75""",88,"7'4""",6.25,244
Dereon Seabron,2022,Wing,ACC,NC State,#CC0000,UDFA,New Orleans Pelicans,NOP,22.07,76.75,"6'4.75""",80.75,"6'8.75""",4,182
Trevion Williams,2022,Big,Big 10,Purdue,#CEB888,UDFA,Boston Celtics,BOS,21.76,79.75,"6'7.75""",86.75,"7'2.75""",7,265
Jared Rhoden,2022,Wing,Big East,Seton Hall,#004488,UDFA,Portland Trail Blazers,POR,22.83,76.5,"6'4.5""",83,"6'11""",6.5,200
