Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
RyanHammer09,2025,62,3.917,0.22,-0.41,6.562,0.279,-0.32,9.641,0.384,0.00,0.758,0.555,0.37,0.771,0.789,0.80,0.856,0.659,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@nore4dh,2025,62,5.815,0.061,-1.44,6.296,0.32,-0.21,11.484,0.26,-0.51,0.78,0.616,0.50,0.542,0.231,-0.72,0.759,0.188,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jaynay1,2025,62,4.83,0.122,-0.90,10.091,0.068,-1.87,15.601,0.055,-1.64,0.705,0.476,0.07,0.571,0.293,-0.53,0.688,0.094,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BeyondTheRK,2025,61,3.643,0.28,-0.26,5.163,0.544,0.29,8.829,0.493,0.22,0.82,0.756,0.73,0.576,0.32,-0.50,0.779,0.282,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Ceilings,2025,60,1.822,0.823,0.73,3.697,0.878,0.93,5.884,0.904,1.03,0.93,0.97,1.35,0.855,0.966,1.36,0.905,0.918,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@draymottishaw,2025,60,2.781,0.518,0.21,5.979,0.408,-0.07,7.915,0.685,0.48,0.82,0.756,0.73,0.693,0.537,0.28,0.8,0.353,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@kimonsjaer24,2025,60,2.348,0.646,0.45,4.739,0.68,0.47,13.97,0.123,-1.19,0.952,0.982,1.48,0.732,0.639,0.54,0.88,0.776,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@fra_sempru,2025,60,2.132,0.707,0.56,4.05,0.81,0.77,6.197,0.863,0.95,0.78,0.616,0.50,0.611,0.361,-0.27,0.852,0.588,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@LeftFieldSoup,2025,60,2.037,0.738,0.61,6.008,0.395,-0.08,9.072,0.452,0.16,0.829,0.768,0.78,0.715,0.592,0.43,0.809,0.388,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoshW,2025,60,2.874,0.494,0.16,5.51,0.483,0.14,8.538,0.534,0.30,0.785,0.646,0.53,0.694,0.544,0.29,0.748,0.153,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
