Rank,Name,Role,Pre-NBA,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Initial Score,Confidence Adj. Score,Cumulative Prospect Score,Cumulative PS/1000,Age Score,Measurables Score,Athletic Score,Defense Score,Usage Score,Scoring Score,Self Creation Score,Touch Score,IQ Score,Tier
40,Curtis Jones,Guard,Iowa State,UDFA,Denver Nuggets,DEN,24.41,75,"6'3""",79.5,"6'7.5""",4.5,183,331,331,364,0.364,0.3,0.05,0.09,0.59,0.72,0.52,0.36,0.55,0.23,5
41,Hunter Sallis,Guard,Wake Forest,UDFA,Philadelphia 76ers,PHI,22.25,75.75,"6'3.75""",82,"6'10""",6.25,181,330,330,363,0.363,0.32,0.03,0.18,0.67,0.77,0.33,0.32,1,0.12,5
42,Max Shulga,Guard,VCU,57,Boston Celtics,BOS,23,76.25,"6'4.25""",77.75,"6'5.75""",1.5,206,402,402,362,0.362,0.3,0.15,0.1,0.69,0.61,0.56,0.22,0.2,0.63,5
43,Chris Manon,Wing,Vanderbilt,UDFA,Golden State Warriors,GSW,N/A,77,"6'5""",N/A,N/A,N/A,215,326,326,359,,0.3,0.08,0.54,0.21,0.43,0.55,0.38,0.01,0.13,5
44,Danny Wolf,Big,Michigan,27,Brooklyn Nets,BKN,21.14,82.5,"6'10.5""",86.25,"7'2.25""",3.75,252,326,326,359,0.359,0.4,0.67,0.09,0.85,0.71,0.33,0.5,0.15,0.06,5
45,Keshon Gilbert,Guard,Iowa State,UDFA,Washington Wizards,WAS,21.99,74.5,"6'2.5""",78.25,"6'6.25""",3.75,185,323,323,355,0.355,0.32,0.16,0.1,0.62,0.68,0.38,0.52,0.31,0.27,5
46,Alijah Martin,Wing,Florida,39,Toronto Raptors,TOR,23.49,73.5,"6'1.5""",79.5,"6'7.5""",6,208,322,322,354,0.354,0.3,0.16,0.11,0.62,0.54,0.5,0.32,0.15,0.29,5
47,Nolan Traore,Guard,Saint-Quentin,19,Brooklyn Nets,BKN,19.08,75,"6'3""",80,"6'8""",5,175,322,322,354,0.354,0.81,0.01,0.1,0.52,0.91,0.21,0.18,0.34,0.12,5
48,Dylan Cardwell,Big,Auburn,UDFA,Sacramento Kings,SAC,23.53,81.75,"6'9.75""",84.75,"7'0.75""",3,261,321,321,353,0.353,0.32,0.7,0.39,0.22,0.27,0.55,0,0,0.21,5
49,Joan Beringer,Big,KK Cedevita Olimpija,17,Minnesota Timberwolves,MIN,18.62,83,"6'11""",88.25,"7'4.25""",5.25,235,321,321,353,0.353,0.81,0.55,0.05,0.49,0.23,0.42,0.41,0.28,0.02,5
