Name,Draft Year,Class,Role,Position,Pre-NBA,League,SOS,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Ath. Score,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,BPM,BPM/Age,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,TS%,eFG%,PProd,Team ORtg,ORtg,ORtg +/-,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Top 3 Pick,Lottery Pick,G Played Issue,Size,Athleticism,Defense,Rebounding,Scoring,Passing,Shooting,Efficiency,Tier,Comp1,Similarity1,Comp2,Similarity2,Comp3,Similarity3,Comp4,Similarity4,Comp5,Similarity5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,NBA Team,NBA
Alijah Martin,2025,Senior,Wing,2.5,Florida,SEC,12.6,#FA4616,23.49,73.5,"6'1.5""",79.5,"6'7.5""",6,208,0.109,,0.685,0.685,0,0.75,14.4,4.5,4.5,10.8,7.8,2.2,1.4,1.57,12.3,10.4,1.18,1.5,0.2,1.7,2.7,0.6,3.3,98.6,101.2,-2.6,9.8,0.42,0.28,0.761,0.5,0.541,0.35,2.1,0.735,0.5,0.5,0.576,0.547,509,120.1,123.8,3.7,21.7,0.66,0.10,0.065,0.57,0.479,1,0,0,0,0,0,0,0,0,,10.9,68.5,25.5,23.7,35.2,54.4,45.4,56.9,Bench Reserve,Aaron Wiggins,81.4,Terrence Shannon Jr.,79.9,Darrun Hilliard,79.2,Jabari Bird,78.8,Ochai Agbaji,78.4,-2.338,-1.604,-0.996,-1.646,-0.893,0.951,-0.976,,,,,,,NBA Combine,
Yanic Konan N.,2025,Junior,Big,5,Penn State,Big 10,7.7,#041E42,22.28,83.25,"6'11.25""",87.25,"7'3.25""",4,243,0.644,,1.000,1.000,1,1.00,12.9,6.3,10,19.9,15.1,0.8,1.7,0.47,6.1,13.9,0.44,0.7,2.3,3,1.5,10.2,11.7,103.1,100.2,2.9,6.1,0.27,0.56,0.664,0.25,0.047,0.091,0,0,0,0.0625,0.631,0.613,342,111.4,118.9,7.5,23.5,0.55,0.03,0.072,0.26,0.591,1,0,0,0,0,0,0,0,0,,64.4,100,67.4,35.3,34,9.8,9.5,74,Bench Reserve,Jericho Sims,80.3,Nick Richards,80,Richaun Holmes,79.7,Damian Jones,78.8,Daniel Gafford,77.6,-1.946,-0.349,-0.212,-0.835,-0.223,1.267,-0.292,,,,,,,NBA Combine,
Mark Sears,2025,Senior,Guard,1,Alabama,SEC,16.14,#9E1B32,23.35,70.75,"5'10.75""",74,"6'2""",3.25,183,0.163,,0.245,0.245,0,0.25,18.6,2.9,1.5,7.3,4.6,5.1,2.7,1.89,26.4,14,1.89,0.9,0.1,1,1.4,0.2,1.6,106.2,112.3,-6.1,7.1,0.30,0.478,0.844,0.75,0.526,0.345,2.4,0.828,0.5,0.5625,0.567,0.494,707,118.5,119.4,0.9,26.9,0.69,0.19,0.100,0.98,0.520,1,0,0,0,0,0,0,0,0,,16.3,24.5,1.9,6.3,87.4,54.6,48.1,39.7,Fringe NBA,Pierre Jackson,76.2,Aaron Holiday,71.9,Isaiah Wong,71.9,Devonte' Graham,71.5,Seth Curry,71.3,-2.937,-2.111,-1.230,-2.093,-0.365,0.164,-1.296,,,,,,,NBA Combine,
Amari Williams,2025,Senior,Big,5,Kentucky,SEC,14.04,#0033A0,23.41,82.5,"6'10.5""",90,"7'6""",7.5,255,0.763,,0.606,0.606,0,0.50,10.9,8.5,10.3,29.7,20.4,3.2,2.3,1.39,24.7,19.8,1.25,0.6,1.2,1.8,1.4,6.1,7.5,106.5,101.5,5,9.9,0.42,0.744,0.623,0.25,0.016,0.25,0,0,0,0.0625,0.587,0.563,444,116.5,114.9,-1.6,24.6,0.44,0.13,0.093,1.00,0.805,1,0,0,0,0,0,0,0,0,,76.3,60.6,59.1,74.9,14.9,94.9,9.5,42.3,Bench Reserve,Neemias Queta,77.1,Colin Castleton,76.1,Dwight Powell,69.8,Orlando Robinson,69.6,AJ Hammons,69.4,-1.423,0.011,-0.013,-0.475,1.371,1.174,0.224,,,,,,,G League Combine,
Payton Sandfort,2025,Senior,Wing,2.5,Iowa,Big 10,10.06,#000000,22.95,78.25,"6'6.25""",80,"6'8""",1.75,214,0.399,,0.064,0.064,0,0.10,16.7,6,3.8,18.3,11,2.9,1.8,1.61,15.3,10.4,1.47,0.8,0.7,1.5,1.4,2.2,3.6,111.2,111.8,-0.6,4.4,0.19,0.242,0.891,1,0.544,0.34,2.5,0.85,0.75,0.8125,0.545,0.5,531,115.1,111,-4.1,26.9,0.62,0.11,0.067,0.57,0.387,1,0,0,0,0,0,0,0,0,,39.9,6.4,44.4,38.5,41.1,69.5,88.3,22.9,Fringe NBA,Anthony Brown,79.3,John Petty,79,Davon Reed,76.9,Marial Shayok,76,Johnny Juzang,74.7,-3.200,-1.129,-1.653,-1.994,-0.579,0.467,-1.219,,,,,,,G League Combine,
Ryan Nembhard,2025,Senior,Guard,1,Gonzaga,WCC,7.27,#041E42,22.29,71,"5'11""",74.25,"6'2.25""",3.25,176,0.14,,0.079,0.079,0,0.10,10.5,3,1,8.3,4.8,9.8,2.5,3.92,41.5,20.3,2.04,1.7,0.1,1.8,2.8,0.2,3,98.3,101.8,-3.5,8.1,0.36,0.294,0.77,0.5,0.318,0.404,1.1,0.4444,0.5,0.5,0.547,0.51,516,121.5,121.2,-0.3,17,0.62,0.58,0.147,2.44,1.194,1,0,0,0,0,0,0,0,0,,14,7.9,26.5,3.8,13,100,34.2,38.2,Bench Reserve,T.J. McConnell,63.3,Tyler Kolek,61.2,Tyus Jones,60.4,Tyler Ulis,60.4,Monte Morris,60,-1.796,-0.559,-0.396,-0.917,-0.336,0.456,-0.526,,,,,,,NBA Combine,
Micah Peavy,2025,Senior,Wing,2.5,Georgetown,Big East,5.77,#041E42,23.94,78.25,"6'6.25""",79.25,"6'7.25""",1,212,0.282,,0.606,0.606,0,0.50,17.2,5.8,5,13.2,9,3.6,2.6,1.38,19.9,14.3,1.39,2.3,0.5,2.8,3.7,1.6,5.3,101.6,101.1,0.5,6.3,0.26,0.2,0.659,0.25,0.286,0.4,1.6,0.64,0.5,0.4375,0.552,0.538,534,105.2,109.8,4.6,24.7,0.70,0.15,0.105,0.81,0.579,1,0,0,0,0,0,0,0,0,,28.2,60.6,64.1,33.1,39.3,78.6,31.2,41.1,Fringe NBA,Kevin McCullar Jr.,83.4,Cody Martin,82.6,Tres Tinkle,82.4,Jaron Blossomgame,80,Jalen Wilson,79.6,-2.858,-1.787,-1.286,-1.977,-0.564,0.823,-1.135,,,,,,,NBA Combine,
Vladislav Goldin,2025,Senior,Big,5,Michigan,Big 10,13.69,#00274C,24.12,84,"7'0""",89.25,"7'5.25""",5.25,253,0.79,,0.665,0.665,0,0.75,16.6,7,10.3,17.4,14.2,1.1,2.3,0.48,8.5,15.5,0.55,0.5,1.4,1.9,1.1,5.2,6.3,100.3,100,0.3,10.4,0.43,0.598,0.731,0.25,0.09,0.333,0.3,0.0999,0.1,0.1375,0.654,0.622,551,109.5,121.5,12,26.7,0.62,0.04,0.086,0.32,0.581,1,0,0,0,0,0,0,0,0,,79,66.5,19.5,32.1,59.5,12.1,44.9,82.8,Fringe NBA,Kofi Cockburn,77.3,Cameron Bairstow,76.8,Christian Koloko,76.6,Colton Iverson,75.9,N'Faly Dante,75.7,-1.834,-0.493,-0.135,-0.821,0.392,0.962,-0.222,,,,,,,NBA Combine,
Javon Small,2025,Junior,Guard,1.5,West Virginia,Big 12,11.54,#EAAA00,22.52,73,"6'1""",76.75,"6'4.75""",3.75,190,0.424,,0.962,0.962,1,1.00,18.6,4.1,1.5,11.6,6.6,5.6,2.7,2.07,35.1,14.4,2.44,1.5,0.3,1.8,2.6,1.1,3.7,97.8,100.4,-2.6,10.6,0.47,0.379,0.88,1,0.537,0.353,2.6,0.9178,0.5,0.625,0.576,0.513,611,102.9,115.4,12.5,28.2,0.66,0.20,0.096,1.24,0.511,1,0,0,0,0,0,0,0,0,,42.4,96.2,44.7,24.8,72.9,74.4,57.4,53.1,Bench Reserve,Demetrius Jackson,78.7,Isaiah Canaan,77.3,Coby White,76.6,Nick Johnson,76.4,Devon Dotson,74.8,-2.470,-0.609,0.006,-1.024,0.717,1.664,-0.138,,,,,,,NBA Combine,
Max Shulga,2025,Senior,Guard,1.5,VCU,A-10,1.3,#000000,23,76.25,"6'4.25""",77.75,"6'5.75""",1.5,206,0.758,,0.492,0.492,0,0.50,15,5.9,6,14,10,4,1.7,2.35,22.9,11.8,1.94,1.8,0.1,1.9,3.2,0.4,3.6,94,94.8,-0.8,9.4,0.41,0.537,0.783,0.5,0.528,0.387,2.1,0.8127,0.75,0.6875,0.595,0.537,543,115.1,130.4,15.3,21.9,0.68,0.18,0.078,1.05,0.539,1,0,0,0,0,0,0,0,0,,75.8,49.2,52.3,93.1,31.7,51.1,64.7,73.7,Fringe NBA,Skylar Mays,79.8,Shake Milton,76.5,Markel Brown,76.2,Nigel Williams-Goss,75.2,Devon Hall,74.9,-2.181,-1.294,-0.036,-1.170,0.189,1.492,-0.366,,,,,,,NBA Combine,
Kobe Sanders,2025,Senior,Wing,2.5,Nevada,Mountain West,5.25,#003366,23.07,79,"6'7""",80.25,"6'8.25""",1.25,203,0.347,,0.643,0.643,0,0.50,15.8,3.9,2.7,12.6,7.7,4.5,1.8,2.50,29.9,11.8,2.53,1.1,0.3,1.4,2.2,1.2,3.4,104.2,106.5,-2.3,7,0.30,0.455,0.795,0.5,0.319,0.342,1.2,0.4104,0.5,0.5,0.572,0.515,535,110.6,118.8,8.2,27.1,0.58,0.17,0.066,1.10,0.435,1,0,0,0,0,0,0,0,0,,34.7,64.3,25.3,11.2,33.3,97.7,45.4,40.9,Bench Reserve,Dillon Jones,84.2,Kevin McCullar Jr.,82.8,Chandler Hutchison,82.1,Cody Martin,81.9,Wes Iwundu,80.6,-2.476,-1.157,-0.866,-1.500,-0.077,1.002,-0.715,,,,,,,NBA Combine,
Grant Nelson,2025,Senior,Big,4.5,Alabama,SEC,16.14,#9E1B32,23.27,82,"6'10""",84,"7'0""",2,230,0.325,,0.556,0.556,0,0.50,11.5,7.6,7.3,21.9,15.2,1.6,1.8,0.89,10.4,15.7,0.66,0.5,1.2,1.7,1,4.2,5.2,106.2,104.3,1.9,7.4,0.32,0.468,0.667,0.25,0.315,0.258,0.6,0.1548,0.25,0.25,0.588,0.563,414,118.5,115.3,-3.2,20.7,0.56,0.08,0.087,0.50,0.758,1,0,0,0,0,0,0,0,0,,32.5,55.6,25.6,21.4,29.3,54.4,62.8,42.8,Fringe NBA,Isaac Jones,85.1,RaiQuan Gray,82.2,Rakeem Christmas,80.9,Isaiah Mobley,80,Chimezie Metu,80,-2.812,-1.144,-0.897,-1.618,-0.900,0.452,-1.060,,,,,,,NBA Combine,
Brice Williams,2025,Senior,Wing,2.5,Nebraska,Big 10,10.46,#E41C38,23.97,77.25,"6'5.25""",82.75,"6'10.75""",5.5,206,0.337,,0.252,0.252,0,0.25,20.4,4.1,1.9,11.4,6.8,2.9,2.4,1.21,18.1,12.4,1.46,1.1,0.3,1.4,1.8,1,2.8,103.7,107.5,-3.8,8,0.33,0.442,0.883,0.75,0.38,0.37,1.9,0.703,0.75,0.75,0.609,0.541,657,108.5,118.5,10,28.7,0.71,0.10,0.084,0.63,0.432,1,0,0,0,0,0,0,0,0,,33.7,25.2,12,4.4,82.8,59.4,82.4,68.8,Bench Reserve,Anthony Brown,82.9,Rodney Hood,81.3,Baylor Scheierman,79.4,Davon Reed,78.9,Elijah Hughes,78.8,-3.117,-1.612,-1.744,-2.157,-0.030,0.622,-1.176,,,,,,,NBA Combine,
Tamar Bates,2025,Senior,Wing,2.5,Missouri,SEC,9.49,#F1B82D,22.34,75.75,"6'3.75""",82.25,"6'10.25""",6.5,191,0.21,,0.229,0.229,0,0.25,13.3,2.6,3.2,8.8,6.1,1,1.3,0.77,7.5,11.1,0.68,1.3,0.1,1.4,2.9,0.6,3.5,105.1,109,-3.9,7.8,0.35,0.3,0.946,1,0.427,0.397,1.5,0.5955,0.75,0.8125,0.643,0.593,392,119.4,126.9,7.5,22.1,0.60,0.05,0.059,0.34,0.502,1,0,0,0,0,0,0,0,0,,21,22.9,18.5,8.1,28.6,7.6,88.3,91.9,Fringe NBA,Mantas Rubstavicius,84.7,Tyler Dorsey,80.7,Marial Shayok,80.2,Rodney Hood,79.8,Jaylen Wells,78.7,-3.005,-1.217,-1.491,-1.904,-1.216,0.612,-1.264,,,,,,,NBA Combine,
Ben Henshall,2025,International,Wing,2.5,Perth,NBL,17.95,#ED1D24,21.01,77.5,"6'5.5""",78.5,"6'6.5""",1,193,0.112,,0.545,0.545,0,0.50,9.4,3.4,4.1,11.5,7.8,2.6,1.6,1.63,14.7,14.9,0.99,1,0.3,1.3,2.1,1.2,3.3,118.7,118.1,0.6,-2,-0.10,0.215,0.839,0.75,0.531,0.341,1.5,0.5115,0.5,0.5625,0.53,0.49,,122.5,110,-12.5,18,0.52,0.14,0.089,0.82,0.828,0,1,0,1,0,0,0,0,0,,11.2,54.5,53.9,21.1,32.6,85.2,59.8,15.6,Fringe NBA,Malachi Richardson,81.4,Miye Oni,79.9,Ben Sheppard,78.8,Max Christie,78.8,Timothe Luwawu-Cabarrot,78.1,-3.019,-1.731,-1.664,-2.138,-0.664,0.710,-1.274,,,,,,,NBA Combine,
Neoklis Avdalas,2025,International,Wing,2.5,Peristeri,Greek GBL,15.51,#1A427F,19.39,79.5,"6'7.5""",81,"6'9""",1.5,198,0.426,,0.389,0.389,0,0.50,8.1,2.5,5.4,12.6,9,1.2,0.9,1.33,13,10.5,1.24,0.6,0.4,1,1.7,2.1,3.8,119,118.8,0.2,-0.6,-0.03,0.229,0.733,0.5,0.427,0.393,1.1,0.4323,0.5,0.5,0.562,0.534,,110.6,111.5,0.9,22,0.37,0.05,0.041,0.59,0.477,0,1,1,0,0,0,0,0,0,,42.6,38.9,54.9,38.3,15.9,69,45.4,43.2,Fringe NBA,Gui Santos,83.4,Furkan Korkmaz,82.6,Justin Edwards,80.6,Deni Avdija,80.5,Dariq Whitehead,80.3,-2.908,-1.806,-1.889,-2.201,-1.189,0.789,-1.401,,,,,,,NBA Combine,
Lachlan Olbrich,2025,International,Big,4.5,Illawarra,NBL,17.95,#000000,21.49,80.75,"6'8.75""",83.25,"6'11.25""",2.5,230,0.177,,0.109,0.109,0,0.25,8.4,3.8,9.6,14.7,12.2,1.6,0.8,2.00,13.7,10.6,1.29,0.3,0.5,0.8,1,2.8,3.8,113.1,113.3,-0.2,1.8,0.08,0.45,0.541,0,0.05,0.091,0,0,0,0,0.597,0.594,,124.2,124.7,0.5,19.7,0.43,0.08,0.041,0.70,0.538,0,1,0,1,0,0,0,0,0,,17.7,10.9,9.8,15.8,27,93,5.8,53.5,Fringe NBA,RaiQuan Gray,76.3,Joffrey Lauvergne,75.8,Robert Carter,75.7,Trey Lyles,74.6,Drew Eubanks,74.4,-3.316,-1.545,-1.079,-1.980,-1.719,0.164,-1.499,,,,,,,NBA Combine,
Jalon Moore,2025,Senior,Wing,3.5,Oklahoma,SEC,11.22,#841617,22.21,78.25,"6'6.25""",80.25,"6'8.25""",2,203,0.444,,0.788,0.788,0,0.75,15.9,5.8,5.1,17.4,11.6,0.6,1.6,0.38,3.8,10.9,0.35,0.5,0.6,1.1,0.9,2.2,3.1,106.8,109.7,-2.9,3.8,0.17,0.447,0.84,0.75,0.299,0.381,1.3,0.4953,0.5,0.5625,0.59,0.528,484,112,115.5,3.5,25.5,0.62,0.02,0.063,0.15,0.427,1,0,0,0,0,0,0,0,0,,44.4,78.8,20.1,53.1,58.9,1.3,59.8,54.4,Fringe NBA,Admiral Schofield,83.4,Glenn Robinson III,80.6,Dwayne Bacon,80.3,Cassius Stanley,80,Abdel Nader,79.8,-2.874,-1.723,-2.115,-2.237,-1.368,0.556,-1.505,,,,,,,NBA Combine,
Dylan Cardwell,2025,Senior,Big,5,Auburn,SEC,15.13,#0C2340,23.53,81.75,"6'9.75""",84.75,"7'0.75""",3,261,0.486,,0.415,0.415,0,0.50,5,5.1,14.1,14,14,1.6,0.6,2.67,12.7,12.1,1.05,0.8,1.4,2.2,2.4,7.4,9.8,100,98.7,1.3,11.4,0.48,0.567,0.324,0,0.017,0.5,0,0,0,0,0.627,0.704,240,119.6,138.3,18.7,11.1,0.45,0.14,0.054,1.14,1.090,1,0,0,0,0,0,0,0,0,,48.6,41.5,52.6,57.7,3.3,95.8,5.8,91.2,Fringe NBA,Gorgui Dieng,79.4,Charles Bediako,79.2,Willie Cauley-Stein,71.8,Christian Koloko,70.9,Alex Oriakhi,70.6,-1.499,-0.022,0.177,-0.448,0.969,1.184,0.162,,,,,,,G League Combine,
Brooks Barnhizer,2025,Senior,Wing,3,Northwestern,Big 10,11.13,#4E2A84,23.31,76.75,"6'4.75""",83,"6'11""",6.25,229,0.444,,0.250,0.250,0,0.25,17.1,8.8,4.8,24.6,14.3,4.2,2.8,1.50,24,13.9,1.73,2.3,1.1,3.4,3.8,3.7,7.5,103.1,96.2,6.9,9.7,0.42,0.357,0.764,0.5,0.257,0.266,1,0.266,0.25,0.3125,0.5,0.448,294,107.9,103.8,-4.1,28.1,0.61,0.15,0.100,0.85,0.495,1,0,0,0,0,0,0,0,0,,44.4,25,95.8,67.2,43.8,86.7,20.7,5.2,Fringe NBA,Aaron Henry,82.8,Jamaal Franklin,77.5,Herbert Jones,76.1,Josh Richardson,73,Wes Iwundu,71.7,-2.582,-0.800,-0.540,-1.307,-0.045,1.166,-0.560,,,,,,,G League Combine,
Chucky Hepburn,2025,Senior,Guard,1,Louisville,ACC,9.49,#AD0000,22.38,72.5,"6'0.5""",76.5,"6'4.5""",4,189,0.389,,0.240,0.240,0,0.25,16.4,3.5,1.8,9.4,5.7,5.8,3,1.93,31.3,17.8,1.76,2.4,0.1,2.5,4,0.3,4.3,100.3,99.5,0.8,9.3,0.42,0.5,0.844,0.5,0.5,0.328,1.9,0.6232,0.5,0.5,0.586,0.514,601,113.3,118.2,4.9,24.4,0.67,0.24,0.123,1.28,0.730,1,0,0,0,0,0,0,0,0,,38.9,24,78.2,17.9,68.3,73.7,34.2,58.8,Fringe NBA,Malachi Flynn,77.2,Tremont Waters,75.3,Jerian Grant,75.2,Jose Alvarado,74.8,Shabazz Napier,73.9,-2.279,-0.761,-0.381,-1.140,-0.260,0.847,-0.567,,,,,,,G League Combine,
Sean Pedulla,2025,Senior,Guard,1,Ole Miss,SEC,12.8,#CE1126,22.71,72.5,"6'0.5""",73.75,"6'1.75""",1.25,194,0.339,,0.490,0.490,0,0.50,15.4,3.5,1.5,10.9,6.1,3.8,2,1.90,22.7,13.2,1.72,1.9,0.2,2.1,3.3,0.7,4,103,104.7,-1.7,8.4,0.37,0.269,0.825,0.75,0.524,0.392,2.4,0.9408,0.75,0.75,0.58,0.544,540,110.8,113.8,3,23.8,0.65,0.16,0.084,0.95,0.555,1,0,0,0,0,0,0,0,0,,33.9,49,58.4,17.6,42,43.1,74,70.2,Bench Reserve,Marcus Zegarowski,82.8,Malachi Flynn,81.8,Elie Okobo,80.1,Adam Flagler,79.3,Isaiah Wong,79.2,-2.395,-1.392,-0.587,-1.458,-0.006,1.332,-0.610,,,,,,,G League Combine,
Chance McMillian,2025,Senior,Guard,1.5,Texas Tech,Big 12,10.62,#CC0000,24.39,73.5,"6'1.5""",77,"6'5""",3.5,181,0.484,,0.470,0.470,0,0.50,14.2,4,3.5,10.8,7.2,1.8,1,1.80,10.1,9,1.12,0.7,0.1,0.8,1.3,0.4,1.7,101.2,106.4,-5.2,9.6,0.39,0.272,0.885,0.75,0.571,0.433,2.3,0.9959,1,0.9375,0.679,0.646,385,119.5,138,18.5,17.9,0.79,0.10,0.056,0.56,0.503,1,0,0,0,0,0,0,0,0,,48.4,47,3.8,63,56.1,3.8,94.1,99.2,Fringe NBA,Kyle Guy,72.1,Marcus Zegarowski,72,Tyler Harvey,70.9,Cam Spencer,70.9,Seth Curry,70.7,-2.527,-1.609,-0.773,-1.636,0.335,1.190,-0.677,,,,,,,G League Combine,
Isaac Nogues,2025,G League,Wing,2.5,Rip City Remix,G League,20.69,#E03A3E,21.37,76.75,"6'4.75""",81.75,"6'9.75""",5,201,0.266,,0.250,0.250,0,0.25,2.7,5.8,8.5,17.2,12.8,4.5,1.3,3.46,22.9,35.4,0.65,1.8,0.1,1.9,3.8,0.5,4.3,117.3,111.8,5.5,4.4,0.21,0.38,0.632,0.25,0.22,0.273,0.1,0.0273,0.1,0.1375,0.583,0.49,,113.1,125.8,12.7,6.4,0.42,0.70,0.203,3.58,5.531,0,0,0,0,1,1,0,0,0,,26.6,25,85.2,81,6.2,100,2.6,35.7,Fringe NBA,Jamaal Franklin,78.5,Aaron Henry,78.4,Herbert Jones,74.6,Andre Jackson Jr.,74.1,Jarrett Culver,72.5,-2.547,-1.509,-0.630,-1.562,0.100,1.057,-0.706,,,,,,,G League Combine,
Kadary Richmond,2025,Senior,Wing,2.5,St. John’s,Big East,8.55,#BA0C2F,23.83,76.25,"6'4.25""",81.5,"6'9.5""",5.25,206,0.338,,0.249,0.249,0,0.25,12.4,6.4,4.1,17,10.4,5.3,2,2.65,29.4,13.8,2.13,2,0.9,2.9,3.5,3.1,6.6,92.5,90.1,2.4,10.1,0.42,0.281,0.536,0.1,0.102,0.175,0.2,0.035,0.1,0.1,0.504,0.496,488,110.3,111,0.7,20.9,0.59,0.25,0.096,1.41,0.660,1,0,0,0,0,0,0,0,0,,33.8,24.9,83.1,36.7,12.2,98.4,1.6,10.2,Fringe NBA,Aaron Henry,76.7,Wes Iwundu,72.1,Herbert Jones,71.2,JP Tokoto,70.5,Sir'Dominic Pointer,70.1,-2.662,-0.783,-0.523,-1.322,-0.710,0.785,-0.778,,,,,,,G League Combine,
Caleb Grill,2025,Senior,Guard,1.5,Missouri,SEC,9.49,#F1B82D,25.03,74.25,"6'2.25""",79.5,"6'7.5""",5.25,204,0.718,,0.605,0.605,0,0.50,13.7,3.6,3.5,12.7,8.2,1.1,0.9,1.22,8.3,8.2,1.01,1.7,0.1,1.8,3.7,0.3,4,105.1,105.7,-0.6,11.4,0.46,0.306,0.864,0.75,0.743,0.396,2.7,1.0692,0.6,0.6375,0.656,0.619,346,119.4,135.1,15.7,21.5,0.64,0.05,0.042,0.39,0.381,1,0,0,0,0,0,0,0,0,,71.8,60.5,62.6,69.8,18.3,0.4,61.1,97.7,Fringe NBA,Tevin Brown,72,CJ Wilcox,69.5,Keon Ellis,68.1,Marcus Sasser,67.7,Jordan Hawkins,67.6,-3.014,-1.851,-0.662,-1.842,0.140,1.296,-0.818,,,,,,,G League Combine,
Norchad Omier,2025,Senior,Wing,4,Baylor,Big 12,13.86,#154734,23.83,77.5,"6'5.5""",83.5,"6'11.5""",6,246,0.32,,0.569,0.569,0,0.50,15.7,10.8,14.8,26.3,20.4,1.5,2.4,0.63,10.1,15.9,0.64,1.2,0.9,2.1,2.3,3.7,6,104.2,99.9,4.3,9.3,0.39,0.447,0.75,0.5,0.188,0.29,0.6,0.174,0.25,0.3125,0.619,0.583,543,113.6,122.1,8.5,24.2,0.65,0.06,0.099,0.42,0.657,1,0,0,0,0,0,0,0,0,,32,56.9,85.9,99.7,46.1,9.1,20.7,84.4,Fringe NBA,Andre Roberson,73.9,Riley Minix,72.4,Anton Watson,72.1,Keshad Johnson,71.5,Cory Jefferson,71.2,-2.566,-1.578,-1.004,-1.716,-0.431,0.960,-0.924,,,,,,,G League Combine,
Chase Hunter,2025,Senior,Guard,1.5,Clemson,ACC,7.51,#F56600,24.21,73.75,"6'1.75""",80.75,"6'8.75""",7,200,0.764,,0.613,0.613,0,0.50,16.5,3,1.9,8.8,5.4,2.5,2,1.25,14.8,13.1,1.13,1.4,0.5,1.9,2.6,1.6,4.2,98.9,101.9,-3,8.5,0.35,0.319,0.866,0.75,0.475,0.407,2.3,0.9361,0.75,0.75,0.612,0.567,510,114.4,121,6.6,24.4,0.68,0.10,0.082,0.61,0.537,1,0,0,0,0,0,0,0,0,,76.4,61.3,45.8,16,38.5,4.6,74,89.7,Fringe NBA,CJ Wilcox,83.5,Quinndary Weatherspoon,78.5,Malcolm Brogdon,76.8,Marcus Sasser,76.5,Adam Flagler,75.3,-2.795,-2.086,-0.838,-1.907,0.064,0.960,-0.939,,,,,,,G League Combine,
Kobe Johnson,2025,Senior,Wing,2.5,UCLA,Big 10,10.71,#2D68C4,22.44,76.5,"6'4.5""",79.5,"6'7.5""",3,193,0.108,,0.441,0.441,0,0.50,7.9,5.9,7.5,18.4,12.8,2.9,1.5,1.93,17.8,17.6,1.01,1.6,0.3,1.9,3.4,1.3,4.7,98.5,96.9,1.6,8.3,0.37,0.258,0.704,0.5,0.502,0.362,1.1,0.3982,0.5,0.5,0.575,0.555,305,112,118,6,15,0.53,0.19,0.100,1.19,1.173,1,0,0,0,0,0,0,0,0,,10.8,44.1,66.8,75.5,5.2,92.4,45.4,61.5,Fringe NBA,Aaron Wiggins,83.7,Sterling Brown,81.7,Glen Rice,80.5,Jacob Evans,80.5,Trevelin Queen,79.8,-2.688,-1.976,-0.878,-1.847,-0.338,1.110,-0.954,,,,,,,G League Combine,
Wade Taylor IV,2025,Senior,Guard,1,Texas A&M,SEC,13.39,#500000,22.06,69.5,"5'9.5""",74.5,"6'2.5""",5,185,0.211,,0.236,0.236,0,0.25,15.7,3,0.6,10.8,5.4,4.3,2.6,1.65,29.5,14.6,2.02,1.3,0.1,1.4,2.5,0.4,2.9,100.5,104.3,-3.8,8.2,0.37,0.391,0.866,0.75,0.585,0.318,2.4,0.7632,0.5,0.5625,0.52,0.448,465,109.2,113.6,4.4,27.6,0.57,0.16,0.094,1.07,0.529,1,0,0,0,0,0,0,0,0,,21.1,23.6,25.2,4.2,40.1,53.4,48.1,9.2,Fringe NBA,Terquavion Smith,77.9,Pierre Jackson,76.8,Russ Smith,75.3,Xavier Thames,75,Malachi Flynn,74.6,-2.572,-1.630,-0.880,-1.694,-0.264,0.566,-0.956,,,,,,,G League Combine,
Jahmai Mashack,2025,Senior,Guard,2,Tennessee,SEC,13.25,#FF8200,22.62,74.75,"6'2.75""",79.75,"6'7.75""",5,197,0.779,,0.612,0.612,0,0.50,6,4.2,6,11.4,8.9,1.5,0.9,1.67,9.4,14.7,0.64,1.7,0.5,2.2,3.7,2.4,6.1,97.1,97.3,-0.2,8.2,0.36,0.509,0.723,0.5,0.35,0.351,0.5,0.1755,0.25,0.3125,0.563,0.515,245,114,120,6,11.6,0.52,0.13,0.078,0.81,1.267,1,0,0,0,0,0,0,0,0,,77.9,61.2,89.3,90.8,3.8,12.2,12,47.3,Fringe NBA,Kadeem Allen,75.1,De'Anthony Melton,73.7,Vit Krejci,69.8,Dalano Banton,69.5,Bruce Brown,68.5,-2.661,-2.485,-0.685,-1.944,-0.181,0.632,-1.076,,,,,,,G League Combine,
