Name,Draft Year,Class,Team,Role,Position,Pre-NBA,League,SOS,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,PER,PER/Age,Age_Adj_PER,WS/40,[WS/40]/Age,BPM,Age_Adj_BPM,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,eFG%,TS%,PProd,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Americas,Other,G League,OE,Y1 Rotation,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,AVG EPM,Tier,Top 3 Pick,Lottery Pick,G Played Issue,Missing Data
Anfernee Simons,2018,High School,POR,Guard,1.5,IMG Academy,High School,,19,75.25,"6'3.25""",81.25,"6'9.25""",6,183,0.696,0.537,0.893,0.751,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,-2.43919,-5.45465,-1.74538,0.129631,0.354618,-1.831,Solid Rotation,0,0,1,
Moritz Wagner,2018,Junior,LAL,Big,4.5,Michigan,Big 10,9.41,21.2,83.5,"6'11.5""",84,"7'0""",0.5,241,0.378,0.397,0.73,0.597,0,0.50,15.0,7.5,6.5,24.7,15.7,0.9,1.5,0.60,7.1,10.7,0.67,1.0,0.6,1.6,2.1,2.2,4.3,95.4,92.3,3.1,24.7,1.17,0.32,0.213,0.010,9.51,9.4,0.264,0.694,0.25,0.391,0.394,1.6,0.6304,0.5,0.4375,0.6,0.62,499,26.23,0.57,0.034,0.056,0.271,0.407,1,0,0,0,0,0,0,0,1,-4.19969,-1.33367,-0.352218,0.648288,0.457018,-0.956,Solid Rotation,0,0,,
Landry Shamet,2018,Junior,PHI,Guard,1.5,Wichita State,American,5.46,21.3,77.25,"6'5.25""",78.75,"6'6.75""",1.5,189,0.723,0.723,0.821,0.782,0,0.75,14.1,3.1,1.6,9.7,5.8,5.1,2.1,2.45,28.2,15.8,1.78,0.6,0.2,0.8,1.2,0.7,1.9,101.6,106.2,-4.6,21.4,1.00,0.15,0.195,0.009,8.27,7.98,0.327,0.825,0.75,0.603,0.442,2.6,1.1492,1,0.9375,0.62,0.65,476,20.2,0.70,0.250,0.102,1.395,0.782,1,0,0,0,0,0,0,0,1,-0.925014,-1.21843,-1.5017,-0.715046,0.530415,-0.766,Bench Reserve,0,0,,
Robert Williams III,2018,Sophomore,BOS,Big,5,Texas A&M,SEC,10.62,20.7,81,"6'9""",90,"7'6""",9,235,0.467,0.5,0.5,0.500,0,0.50,11.6,9.9,10.2,26.8,18.9,1.6,1.8,0.86,11.8,16.9,0.70,0.8,2.8,3.6,1.8,10.8,12.6,99.5,90.2,9.3,25.5,1.23,0.40,0.184,0.009,11.11,11.27,0.318,0.471,0,0.055,0,0,0,0,0,0.63,0.61,,19.79,0.59,0.078,0.091,0.597,0.852,1,0,0,0,0,0,0,0,1,-2.44816,0.320863,1.10351,3.36106,1.93403,0.854,Solid Rotation,0,0,,
Jacob Evans,2018,Junior,GS,Wing,2.5,Cincinnati,American,3.53,21,76.25,"6'4.25""",81.25,"6'9.25""",5,200,0.174,0.221,0.47,0.370,0,0.50,11.6,4.5,5.2,12.0,8.7,2.9,1.7,1.68,19.3,13.4,1.44,1.2,1.0,2.2,2.5,3.7,6.2,87,88.3,-1.3,20.5,0.98,0.14,0.213,0.010,9.26,9.26,0.302,0.754,0.5,0.43,0.37,1.7,0.629,0.75,0.6875,0.51,0.54,461,21.6,0.54,0.135,0.080,0.892,0.621,1,0,0,0,0,0,0,0,1,-5.84994,-6.14648,,,,-5.998,Fringe NBA,0,0,,
Dzanan Musa,2018,International,BKN,Wing,3,KK Cedevita,Adriatic ABA,19.1,19.1,81,"6'9""",81,"6'9""",0,195,0.454,0.5,0.5,0.500,0,0.50,15.3,5.6,4.1,16.6,10.3,1.7,1.9,0.90,19.2,13.6,1.41,0.9,0.6,1.5,2.7,2.0,4.7,92.5,101.5,-9,19.2,1.01,0.24,,,7.74,9.25,0.443,0.804,0.75,0.46,0.313,1.2,0.3756,0.5,0.5625,0.56,0.61,,27.9,0.55,0.062,0.069,0.686,0.487,0,1,1,0,0,0,0,0,0,,-3.01366,,,,-3.014,Fringe NBA,0,0,,
Omari Spellman,2018,Freshman,ATL,Big,4.5,Villanova,Big East,10.24,20.9,81.25,"6'9.25""",86,"7'2""",4.75,254,0.338,0.753,0.445,0.568,0,0.50,11.8,8.5,9.9,23.1,16.8,0.9,1.1,0.84,5.1,9.7,0.52,0.7,1.7,2.4,1.3,5.8,7.1,99.2,96.7,2.5,20.6,0.99,0.15,0.184,0.009,7.95,8,0.208,0.7,0.25,0.446,0.433,1.6,0.6928,0.75,0.625,0.45,0.59,425,18.89,0.63,0.049,0.058,0.270,0.515,1,0,0,0,0,0,0,0,1,-1.89859,-1.90125,,,,-1.900,Fringe NBA,0,0,,
Elie Okobo,2018,International,PHX,Guard,1,Élan Béarnais,French LNB Pro A,18.24,20.7,75,"6'3""",80,"6'8""",5,180,0.543,0.5,0.5,0.500,0,0.50,16.7,3.4,1.9,11.7,6.7,5.3,3.0,1.76,34.2,18.5,1.86,1.2,0.3,1.5,2.3,0.8,3.2,111.9,112.9,-1,19,0.92,0.09,,,6.39,6.68,0.272,0.835,0.75,0.498,0.394,2.1,0.8274,0.75,0.75,0.6,0.61,,27.9,0.60,0.189,0.107,1.227,0.661,0,1,1,0,0,0,0,0,1,-4.48556,-3.88883,,,,-4.187,Fringe NBA,0,0,,
Jevon Carter,2018,Senior,MEM,Guard,1.5,West Virginia,Big 12,9.38,22.8,73.5,"6'1.5""",76.25,"6'4.25""",2.75,196,0.404,0.639,0.428,0.512,0,0.50,17.0,4.7,2.4,13.1,7.5,6.4,2.6,2.42,35.0,13.4,2.62,3.0,0.4,3.4,4.9,1.2,6.1,98.3,94.9,3.4,24.9,1.09,0.18,0.214,0.009,12.29,10.55,0.305,0.858,1,0.385,0.393,2.1,0.8253,0.75,0.8125,0.48,0.53,686,25.4,0.67,0.251,0.104,1.378,0.527,1,0,0,0,0,0,0,0,1,-3.01462,-0.157092,-1.16604,-3.37478,-0.631299,-1.669,Bench Reserve,0,0,,
Jalen Brunson,2018,Junior,DAL,Guard,1,Villanova,Big East,10.24,21.8,74.25,"6'2.25""",76,"6'4""",1.75,198,0.472,0.677,0.6,0.631,0,0.50,19.4,3.3,1.2,9.7,5.6,4.6,1.9,2.46,26.4,9.9,2.67,1.0,0.0,1.0,1.8,0.1,1.9,99.2,104.1,-4.9,26.1,1.20,0.33,0.241,0.011,10.62,9.85,0.313,0.802,0.75,0.407,0.408,2.2,0.8976,1,0.9375,0.6,0.63,745,27,0.72,0.169,0.069,0.979,0.367,1,0,0,0,0,0,0,0,1,-1.14499,-0.0155761,0.305504,1.15398,2.04246,0.468,All-NBA Caliber,0,0,,
Devonte' Graham,2018,Senior,CHA,Guard,1,Kansas,Big 12,11.88,23.3,73.5,"6'1.5""",78.25,"6'6.25""",4.75,186,0.415,0.683,0.383,0.503,0,0.50,17.7,4.2,2,9.6,6.0,7.0,2.9,2.42,30.2,13.8,2.19,1.6,0.1,1.7,2.4,0.1,2.5,102,105.1,-3.1,21.2,0.91,-0.02,0.182,0.008,9.28,7.06,0.406,0.827,0.75,0.544,0.406,2.8,1.1368,1,0.9375,0.49,0.55,770,24.9,0.71,0.280,0.116,1.214,0.553,1,0,0,0,0,0,0,0,1,-2.78388,1.32485,1.98208,-0.220181,-1.33258,-0.206,Solid Rotation,0,0,,
Melvin Frazier Jr.,2018,Junior,ORL,Wing,2.5,Tulane,American,2.08,21.8,76.5,"6'4.5""",85.75,"7'1.75""",9.25,198,0.39,0.487,0.944,0.761,0,0.75,13.7,5.3,3.9,14.6,9.3,2.6,2.5,1.02,16.1,17.6,0.92,2.0,0.7,2.7,3.4,2.1,5.5,105.4,101.8,3.6,22.4,1.03,0.16,0.152,0.007,6.03,5.26,0.366,0.712,0.5,0.283,0.385,1.2,0.462,0.5,0.5,0.6,0.62,,20.9,0.66,0.122,0.120,0.771,0.842,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Gary Trent Jr.,2018,Freshman,POR,Guard,1.5,Duke,ACC,9.7,19.4,77.75,"6'5.75""",80.75,"6'8.75""",3,204,0.824,0.815,0.837,0.828,0,0.75,16.1,4.3,2.9,10.3,6.8,1.8,1.0,1.75,8.7,7.7,1.14,1.4,0.1,1.5,2.1,0.4,2.6,97.9,102.7,-4.8,16.7,0.86,0.08,0.163,0.008,7.34,8.89,0.227,0.876,1,0.564,0.402,2.6,1.0452,1,1,0.54,0.58,,20,0.80,0.091,0.052,0.437,0.384,1,0,0,0,0,0,0,0,0,,0.0673935,-0.84151,1.40107,-0.162076,0.116,Solid Rotation,0,0,,
Khyri Thomas,2018,Junior,DET,Wing,2.5,Creighton,Big East,8.1,22.1,75.75,"6'3.75""",82.5,"6'10.5""",6.75,199,0.195,0.39,0.487,0.448,0,0.50,14.8,4.4,4,11.0,7.7,2.6,1.8,1.44,14.2,12.9,1.11,1.6,0.2,1.8,2.8,0.8,3.6,100.9,100.9,0,21.8,0.99,0.10,0.183,0.008,8.69,7.63,0.249,0.788,0.5,0.442,0.411,1.9,0.7809,0.75,0.6875,0.62,0.64,474,21.1,0.70,0.123,0.086,0.675,0.610,1,0,0,0,0,0,0,0,1,-3.51679,-3.21576,1.34245,,,-1.797,Fringe NBA,0,0,,
Isaac Bonga,2018,International,LAL,Wing,3,Frankfurt,German BBL,16.23,18.6,81,"6'9""",84,"7'0""",3,200,0.609,0.5,0.5,0.500,0,0.50,11.8,5.5,5,16.6,10.7,3.2,2.7,1.22,22.9,28.0,0.82,1.5,0.7,2.2,3.3,3.3,6.6,111.3,104.3,7,13,0.70,-0.05,,,1.58,3.49,0.509,0.9,1,0.292,0.302,0.5,0.151,0.25,0.4375,0.5,0.60,,22.38,0.53,0.144,0.118,1.025,1.252,0,1,1,0,0,0,0,0,0,-4.95485,-1.14557,-4.38113,-3.3511,,-3.458,Fringe NBA,0,0,,
Rodions Kurucs,2018,International,BKN,Wing,3,Barcelona II,Spanish Primera FEB,5.61,20.4,81,"6'9""",86,"7'2""",5,200,0.699,0.5,0.5,0.500,0,0.50,7.1,1.7,3.8,10.6,7.3,1.0,1.2,0.81,11.3,17.5,0.65,1.2,0.5,1.7,4.3,3.2,7.5,108.9,102.3,6.6,14.9,0.73,-0.09,,,2.22,2.7,0.257,0.769,0.5,0.421,0.328,0.8,0.2624,0.25,0.3125,0.52,0.55,,23.9,0.30,0.042,0.052,0.474,0.733,0,1,1,0,0,0,0,0,1,-1.26937,-2.21203,,,,-1.741,Fringe NBA,0,0,,
Jarred Vanderbilt,2018,Freshman,DEN,Wing,4,Kentucky,SEC,10.73,19.2,81,"6'9""",85,"7'1""",4,218,0.724,0.5,0.5,0.500,0,0.50,8.3,8.8,23.1,28.4,26.0,1.4,1.2,1.19,13.0,15.5,0.84,0.4,0.9,1.3,1.4,5.6,7.0,100.3,93.7,6.6,21.6,1.13,0.36,0.172,0.009,6.87,8.3,0.559,0.632,0.25,0.015,0,0,0,0,0.0625,0.44,0.49,103,21.88,0.38,0.065,0.054,0.593,0.710,1,0,0,0,0,0,0,0,0,-3.09052,,0.906752,1.24242,-1.15522,-0.524,Solid Rotation,0,0,,
Bruce Brown,2018,Sophomore,DET,Guard,2,Miami,ACC,6.96,21.8,77,"6'5""",81,"6'9""",4,195,0.748,0.757,0.527,0.619,0,0.50,10.8,7.1,4.6,20.0,12.4,3.9,2.3,1.69,20.5,16.1,1.27,1.3,0.8,2.1,2.3,2.5,4.7,99.4,97.5,1.9,16.9,0.78,-0.10,0.121,0.006,5,4.23,0.372,0.629,0.25,0.319,0.267,0.8,0.2136,0.25,0.25,0.45,0.48,242,21.1,0.51,0.183,0.109,0.973,0.763,1,0,0,0,0,0,0,0,1,-1.90056,-1.04407,-0.623526,-0.143669,-0.913337,-0.925,Solid Rotation,0,0,,
Justin Jackson (UMD),2018,Sophomore,ORL,Wing,3.5,Maryland,Big 10,7.94,21.3,78.75,"6'6.75""",87.25,"7'3.25""",8.5,229,0.725,0.324,0.25,0.280,0,0.25,9.7,8.2,4.8,10.7,7.8,1.9,2.9,0.64,12.6,21.7,0.58,0.8,0.8,1.6,1.3,0.8,2.1,100.1,102.4,-2.3,14.2,0.67,-0.19,0.083,0.004,1.96,1.72,0.22,0.828,0.75,0.477,0.25,0.9,0.225,0.25,0.375,0.41,0.47,659,24.16,0.40,0.077,0.120,0.522,0.897,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Hamidou Diallo,2018,Freshman,OKC,Wing,2.5,Kentucky,SEC,10.73,19.9,76.25,"6'4.25""",83.5,"6'11.5""",7.25,197,0.261,0.62,0.965,0.827,0,0.75,11.9,4.4,4.2,11.8,8.3,1.5,1.5,1.01,11.2,12.4,0.91,0.8,0.5,1.3,1.7,1.9,3.6,100.3,103.1,-2.8,13.8,0.69,-0.10,0.103,0.005,3.37,4.24,0.399,0.616,0.25,0.246,0.338,0.7,0.2366,0.25,0.25,0.48,0.51,348,23.58,0.50,0.064,0.063,0.476,0.525,1,0,0,0,0,0,0,0,1,-3.80246,-3.2439,-2.19627,-0.565291,-0.20372,-2.002,Bench Reserve,0,0,,
De'Anthony Melton,2018,Sophomore,HOU,Guard,1.5,USC,PAC 12,6.4,20.1,75.25,"6'3.25""",80.5,"6'8.5""",5.25,193,0.745,0.605,0.548,0.571,0,0.50,8.4,4.6,5.9,13.6,9.9,3.7,1.8,2.07,23.2,19.1,1.21,2.0,1.0,3.0,4.1,3.9,8.0,102.3,100.6,1.7,19.2,0.96,0.15,0.133,0.007,7.02,7.89,0.472,0.706,0.5,0.32,0.284,0.6,0.1704,0.25,0.3125,0.49,0.54,351,17.4,0.48,0.211,0.102,1.332,1.098,1,0,0,0,0,0,0,0,1,-3.07947,0.499155,1.17551,1.51638,0.937115,0.210,Solid Rotation,0,0,,
Svi Mykhailiuk,2018,Senior,LAL,Wing,3,Kansas,Big 12,11.88,21,79.75,"6'7.75""",76.75,"6'4.75""",-3,212,0.275,0.651,0.489,0.554,0,0.50,15.9,4.6,4,8.6,6.4,2.9,1.8,1.59,14.5,11.3,1.28,1.3,0.4,1.7,2.0,1.3,3.3,102,106,-4,16.9,0.80,-0.04,0.137,0.007,7.24,7.24,0.119,0.804,0.75,0.549,0.444,2.9,1.2876,1,0.9375,0.56,0.57,548,22.11,0.72,0.132,0.083,0.654,0.512,1,0,0,0,0,0,0,0,1,-3.24539,-0.708421,-3.46523,-3.01104,0.369955,-2.012,Bench Reserve,0,0,,
Keita Bates-Diop,2018,Junior,MIN,Wing,3,Ohio State,Big 10,9.02,22.4,80.5,"6'8.5""",87.25,"7'3.25""",6.75,223,0.827,0.813,0.84,0.829,0,0.75,19.1,8.7,5.7,24.1,15.4,1.5,1.8,0.80,9.8,8.7,1.13,0.9,1.6,2.5,1.6,6.0,7.6,98.4,94.6,3.8,27.5,1.23,0.33,0.216,0.010,11.32,10.21,0.274,0.794,0.5,0.357,0.359,1.9,0.6821,0.5,0.5,0.53,0.56,604,29.59,0.65,0.050,0.062,0.333,0.295,1,0,0,0,0,0,0,0,1,-3.72616,-3.53437,-3.60275,-2.10522,-0.0750108,-2.609,Bench Reserve,0,0,,
Chimezie Metu,2018,Junior,SA,Big,4.5,USC,PAC 12,6.29,21.2,81.5,"6'9.5""",84.5,"7'0.5""",3,220,0.175,0.367,0.513,0.455,0,0.50,15.2,7.2,7.2,21.1,14.2,1.6,2.0,0.81,9.6,12.9,0.75,0.8,1.6,2.4,1.5,6.2,7.7,102.3,99.8,2.5,23.5,1.11,0.26,0.167,0.008,5.39,5.28,0.388,0.73,0.5,0.102,0.3,0.4,0.12,0.25,0.3125,0.54,0.57,497,25.53,0.59,0.062,0.077,0.376,0.504,1,0,0,0,0,0,0,0,0,-6.3345,-1.41156,-3.20811,-2.12145,-1.3389,-2.883,Bench Reserve,0,0,,
Alize Johnson,2018,Senior,IND,Wing,3.5,Missouri State,MVC,0.43,22.2,80,"6'8""",80.75,"6'8.75""",0.75,217,0.458,0.042,0.06,0.053,0,0.10,12.1,10.1,11.4,30.1,20.8,2.3,2.0,1.16,16.7,13.4,1.24,0.4,0.2,0.6,0.8,0.9,1.7,100.2,97.2,3,24.1,1.09,0.20,0.183,0.008,4.84,3.89,0.363,0.759,0.5,0.365,0.281,1.2,0.3372,0.25,0.3125,0.47,0.52,517,25.23,0.48,0.092,0.079,0.662,0.532,1,0,0,0,0,0,0,0,0,-3.81614,-1.91645,-0.312488,-3.83653,,-2.470,Fringe NBA,0,0,,
Tony Carr,2018,Sophomore,NO,Guard,1,Penn State,Big 10,7.79,20.7,76.5,"6'4.5""",80.25,"6'8.25""",3.75,198,0.818,0.217,0.242,0.232,0,0.25,19.9,4.9,3,13.4,8.2,5.1,2.3,2.20,29.7,11.2,2.67,0.8,0.3,1.1,1.4,0.9,2.3,97.6,102.3,-4.7,22.2,1.07,0.24,0.182,0.009,8.24,8.53,0.307,0.799,0.5,0.338,0.433,2.4,1.0392,0.75,0.6875,0.49,0.53,736,30,0.66,0.169,0.077,0.991,0.372,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Vince Edwards,2018,Senior,HOU,Wing,3,Purdue,Big 10,8.74,22.2,80,"6'8""",84,"7'0""",4,225,0.642,0.5,0.5,0.500,0,0.50,14.0,7.3,8.4,18.3,13.7,2.8,2.0,1.38,16.5,13.3,1.24,0.5,0.6,1.1,1.0,2.1,3.1,96.2,97.9,-1.7,21.8,0.98,0.09,0.197,0.009,8.28,7.33,0.317,0.833,0.75,0.339,0.398,1.5,0.597,0.75,0.75,0.53,0.58,531,23.93,0.58,0.117,0.085,0.690,0.557,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Devon Hall,2018,Senior,OKC,Guard,1.5,Virginia,ACC,9.05,22.9,76.25,"6'4.25""",79.75,"6'7.75""",3.5,206,0.734,0.091,0.178,0.143,0,0.25,11.3,4.3,1.4,14.9,8.3,2.9,1.0,2.77,18.2,8.5,2.13,0.8,0.1,0.9,1.8,0.6,2.4,88.8,92.4,-3.6,20.3,0.89,-0.03,0.215,0.009,10.34,8.5,0.292,0.894,0.75,0.454,0.432,1.7,0.7344,0.75,0.75,0.54,0.58,392,19.9,0.57,0.143,0.052,0.915,0.429,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Shake Milton,2018,Junior,PHI,Guard,1.5,SMU,American,3.66,21.7,76.5,"6'4.5""",84.75,"7'0.75""",8.25,207,0.904,0.709,0.441,0.548,0,0.50,16.4,4.5,2.1,13.5,7.7,4.1,2.2,1.83,24.5,13.7,1.78,1.3,0.6,1.9,2.3,2.3,4.5,99.4,100.4,-1,24.2,1.12,0.25,0.208,0.010,8.08,7.4,0.405,0.847,0.75,0.471,0.434,2.5,1.085,1,0.9375,0.55,0.60,381,24.1,0.68,0.169,0.093,1.017,0.570,1,0,0,0,0,0,0,0,1,-2.54393,-0.756495,-0.480508,-1.98071,-1.26215,-1.405,Bench Reserve,0,0,,
Arnoldas Kulboka,2018,International,CHA,Wing,3,Brose Bamberg,German BBL,16.23,20.5,81,"6'9""",83.25,"6'11.25""",2.25,200,0.576,0.5,0.5,0.500,0,0.50,11.2,5.1,,,,1.2,,,,,,1.0,0.4,1.4,,,,,,,,,,,,,,,,,,0.367,,,,,,0.53,,19.99,0.56,0.060,,,,0,1,1,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,1
Ray Spalding,2018,Junior,DAL,Big,4.5,Louisville,ACC,9.07,21.3,82.25,"6'10.25""",88.75,"7'4.75""",6.5,215,0.439,0.068,0.386,0.259,0,0.50,12.5,9.0,13.2,20.9,17.3,1.4,1.8,0.78,9.9,13.4,0.74,1.5,1.8,3.3,3.1,6.5,9.6,99.5,92.8,6.7,25.6,1.20,0.35,0.193,0.009,8.45,8.29,0.338,0.64,0.1,0.056,0.263,0.1,0.0263,0.1,0.1,0.55,0.57,452,23.07,0.54,0.059,0.076,0.427,0.579,1,0,0,0,0,0,0,0,0,-3.6505,,,,,-3.651,Fringe NBA,0,0,,
Kevin Hervey,2018,Senior,OKC,Wing,4,UT Arlington,Sun Belt,-1.44,21.9,79.75,"6'7.75""",87.5,"7'3.5""",7.75,212,0.735,0.114,0.293,0.221,0,0.25,17.3,6.8,8,19.7,14.1,1.7,2.4,0.68,12.3,12.9,0.96,1.1,0.4,1.5,2.0,1.4,3.4,99,97.5,1.5,23.7,1.08,0.21,0.174,0.008,4.16,3.44,0.257,0.807,0.75,0.417,0.339,2.3,0.7797,0.5,0.5625,0.51,0.54,624,28.67,0.60,0.058,0.085,0.430,0.449,1,0,0,0,0,0,0,0,0,,-3.08773,,,,-3.088,Fringe NBA,0,0,,
Thomas Welsh,2018,Senior,DEN,Big,5,UCLA,PAC 12,6.86,22.4,84,"7'0""",84,"7'0""",0,255,0.49,0.375,0.375,0.375,0,0.50,11.3,10.5,9.1,25.8,17.8,1.2,1.0,1.26,6.8,8.3,0.81,0.7,0.8,1.5,1.1,2.7,3.8,104,101.6,2.4,20.3,0.91,0.01,0.162,0.007,5.68,4.94,0.174,0.828,0.75,0.335,0.402,1.4,0.5628,0.75,0.75,0.55,0.57,414,16.89,0.67,0.073,0.058,0.401,0.494,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
George King,2018,Senior,PHX,Wing,3,Colorado,PAC 12,7,24.4,78,"6'6""",83.5,"6'11.5""",5.5,219,0.384,0.796,0.743,0.764,0,0.75,10.0,7.0,7.2,22.4,15.0,0.5,2.0,0.27,8.2,15.1,0.54,0.4,0.7,1.1,1.1,2.6,3.7,103.8,102.3,1.5,,,,,,4.62,1.92,0.273,0.782,0.5,0.492,0.395,1.9,0.7505,0.75,0.6875,0.542,0.54,384,22.69,0.44,0.023,0.088,,,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Kostas Antetokounmpo,2018,Freshman,DAL,Wing,3.5,Dayton,A-10,2.71,20.6,82.5,"6'10.5""",86.25,"7'2.25""",3.75,195,0.789,0.093,0.561,0.374,0,0.50,4.3,2.2,7.3,17.0,12.4,0.3,1.2,0.24,5.1,23.4,0.22,0.1,1.0,1.1,0.9,7.9,8.8,107.9,105.6,2.3,13.7,0.67,-0.16,0.062,0.003,-2.82,-2.5,0.634,0.516,0,0.149,0.133,0.1,0.0133,0.1,0.075,0.59,0.58,142,19.77,0.22,0.014,0.059,0.256,1.185,1,0,0,0,0,0,0,0,0,,,-5.60162,,,-5.602,Fringe NBA,0,0,,
Kenrich Williams,2018,Senior,,Wing,3,TCU,Big 12,9.68,23.6,79,"6'7""",79.25,"6'7.25""",0.25,210,0.276,0.23,0.201,0.213,0,0.25,11.7,9.1,9.7,20.8,15.4,3.6,2.1,1.73,16.6,13.5,1.23,1.8,0.6,2.4,2.8,1.6,4.4,105.7,103.4,2.3,20.6,0.87,-0.07,0.158,0.007,9.22,7.15,0.295,0.688,0.25,0.351,0.395,1.4,0.553,0.75,0.625,0.52,0.54,464,20.71,0.57,0.172,0.099,0.802,0.653,1,0,0,0,0,0,0,0,1,-1.70289,-2.37202,-0.649381,-0.159709,1.09116,-0.759,Bench Reserve,0,0,,
Drew Eubanks,2018,Junior,,Big,5,Oregon,PAC 12,4.56,21.34,82,"6'10""",83,"6'11""",1,240,0.321,0.25,0.25,0.250,0,0.25,12.1,6.2,7.3,18.7,13.1,1.0,1.7,0.56,6.3,14.8,0.43,0.5,1.5,2.0,0.9,6.1,7.0,102.6,102.6,0,21.6,1.01,0.16,0.160,0.007,4,3.82,0.51,0.701,0.5,0,0,0,0,0,0.125,0.62,0.65,381,18.85,0.64,0.051,0.090,0.336,0.782,1,0,0,0,0,0,0,0,0,-3.17249,-3.07173,-3.4744,-2.28255,-2.3111,-2.862,Bench Reserve,0,0,,
Jae'Sean Tate,2018,Senior,,Wing,2.5,Ohio State,Big 10,9.02,22.6,76,"6'4""",80,"6'8""",4,190,0.055,0.5,0.5,0.500,0,0.50,11.4,6.2,5.4,18.5,12.3,2.7,2.2,1.22,17.9,16.4,1.09,1.1,0.6,1.7,2.1,2.3,4.4,98.4,97.4,1,19.8,0.88,-0.03,0.158,0.007,7.02,5.75,0.358,0.591,0.25,0.114,0.314,0.3,0.0942,0.25,0.25,0.56,0.57,422,22.36,0.51,0.123,0.100,0.800,0.735,1,0,0,0,0,0,0,0,1,,,-0.341971,-0.928998,-1.92598,-1.066,Bench Reserve,0,0,,
Duncan Robinson,2018,Junior,,Wing,2.5,Michigan,Big 10,9.41,24.17,79,"6'7""",85,"7'1""",6,190,0.478,0.25,0.25,0.250,0,0.25,7.2,2.0,2.2,8.3,5.3,0.7,0.7,1.03,5.6,5.9,0.95,0.6,0.5,1.1,1.5,1.8,3.3,95.4,99.3,-3.9,15.8,0.65,-0.31,0.167,0.007,6.68,4.16,0.231,0.891,1,0.733,0.384,1.9,0.7296,1,1,0.55,0.58,339,17.02,0.42,0.039,0.038,0.326,0.344,1,0,0,0,0,0,0,0,0,-3.49476,2.45313,0.369849,0.291858,-2.6433,-0.605,Solid Rotation,0,0,,
Zion Williamson,2019,Freshman,NO,Wing,4,Duke,ACC,11.98,18.9,79,"6'7""",82.5,"6'10.5""",3.5,285,0.743,0.925,0.925,0.925,1,1.00,25.6,10.2,12.7,18.6,15.8,2.7,2.5,1.06,17.7,13.7,1.29,2.2,1.9,4.1,4.0,6.2,10.2,92.3,87.4,4.9,40.8,2.16,1.40,0.335,0.018,20.76,22.43,0.467,0.64,0.25,0.163,0.338,0.7,0.2366,0.25,0.25,0.73,0.72,663,30.03,0.85,0.089,0.084,0.589,0.456,1,0,0,0,0,0,0,0,1,1.75554,3.43496,,3.86884,1.26435,2.581,All-NBA Caliber,1,1,,
Ja Morant,2019,Sophomore,MEM,Guard,1,Murray State,OVC,-3.11,19.9,75,"6'3""",78,"6'6""",3,170,0.428,1,1,1.000,1,1.00,21.5,5.1,3.9,12.7,8.6,9.8,5.0,1.96,50.7,22.9,2.21,1.6,0.7,2.3,2.4,2.2,4.6,95.1,95.8,-0.7,31.6,1.59,0.79,0.273,0.014,8.31,9.37,0.512,0.813,0.75,0.296,0.363,1.7,0.6171,0.5,0.5625,0.56,0.62,913,30.8,0.70,0.319,0.163,1.645,0.743,1,0,0,0,0,0,0,0,1,-0.162647,-0.211483,3.11269,3.74087,1.90678,1.677,All-NBA Caliber,1,1,,
RJ Barrett,2019,Freshman,NY,Wing,3,Duke,ACC,11.98,19,79,"6'7""",82,"6'10""",3,202,0.391,0.75,0.75,0.750,0,0.75,25.5,8.9,4.8,17.8,11.5,4.9,3.3,1.46,26.2,14.0,1.87,1.0,0.5,1.5,1.5,1.6,3.1,92.3,95.9,-3.6,23.3,1.23,0.47,0.194,0.010,9.26,10.85,0.319,0.665,0.25,0.338,0.308,1.9,0.5852,0.5,0.4375,0.53,0.55,834,33.62,0.76,0.144,0.099,0.780,0.417,1,0,0,0,0,0,0,0,1,-3.9543,-0.124393,-1.223,-1.42542,-0.107764,-1.367,Solid Rotation,1,1,,
