Name,Draft Year,Class,Team,Role,Position,Pre-NBA,League,SOS,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,PER,PER/Age,Age_Adj_PER,WS/40,[WS/40]/Age,BPM,Age_Adj_BPM,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,eFG%,TS%,PProd,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Americas,Other,G League,OE,Y1 Rotation,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,AVG EPM,Tier,Top 3 Pick,Lottery Pick,G Played Issue,Missing Data
Tim Hardaway Jr.,2013,Junior,NY,Wing,2.5,Michigan,Big 10,10.05,20.3,76.5,"6'4.5""",79,"6'7""",2.5,199,0.077,0.558,0.759,0.679,0,0.75,15.8,5.3,0.8,16.5,8.5,2.6,2.0,1.34,14.2,12.5,1.14,0.7,0.5,1.2,1.2,1.6,2.8,97.7,100.7,-3,17.7,0.87,0.06,0.136,0.007,5.87,6.43,0.241,0.694,0.25,0.424,0.374,1.9,0.7106,0.75,0.625,0.52,0.55,,24.42,0.65,0.108,0.081,0.581,0.511,1,0,0,0,0,0,0,0,1,-2.66555,-2.85609,-0.632793,0.697782,0.77885,-0.936,Quality Starter,0,0,,
Reggie Bullock Jr.,2013,Junior,LAC,Wing,2.5,North Carolina,ACC,8.06,22.3,79,"6'7""",80.75,"6'8.75""",1.75,200,0.227,0.509,0.257,0.358,0,0.50,13.0,6.3,6.7,16.9,11.3,2.7,1.2,2.22,15.7,9.3,1.69,1.3,0.3,1.6,2.2,0.9,3.1,96.3,98.2,-1.9,23.7,1.06,0.17,0.207,0.009,11.17,10.14,0.205,0.767,0.5,0.567,0.436,2.5,1.09,1,0.875,0.59,0.61,,18.41,0.71,0.146,0.066,0.854,0.504,1,0,0,0,0,0,0,0,1,-3.1,-2.2,-1.1,-0.8,-0.4,-1.520,Solid Rotation,0,0,,
Andre Roberson,2013,Junior,OKC,Wing,2.5,Colorado,PAC 12,7.91,21.5,79,"6'7""",83,"6'11""",4,206,0.478,0.315,0.576,0.472,0,0.50,10.6,11.2,10.6,29.3,19.9,1.3,2.4,0.55,9.2,18.5,0.50,2.2,1.3,3.5,3.9,4.4,8.3,95.4,84.5,10.9,21.9,1.02,0.16,0.166,0.008,8.15,7.75,0.356,0.551,0,0.211,0.328,0.6,0.1968,0.25,0.1875,0.51,0.52,348,19.93,0.53,0.066,0.121,0.459,0.927,1,0,0,0,0,0,0,0,1,-0.839966,0.654903,-0.544685,-0.0826734,1.14366,0.066,Bench Reserve,0,0,,
Rudy Gobert,2013,International,UTA,Big,5,Cholet Basket,French LNB Pro A,18.24,21.9,86,"7'2""",92.5,"7'8.5""",6.5,238,0.811,0.152,0.329,0.285,0,0.50,10.4,6.9,11.3,19.4,15.2,0.7,1.8,0.39,5.4,19.2,0.28,0.8,2.4,3.1,1.8,8.8,10.6,107.7,102.2,5.5,20.5,0.94,0.06,,,5.98,5.5,0.58,0.697,0.25,0.02,0,0,0,0,0.0625,0.72,0.73,,17.65,0.59,0.039,0.100,0.305,1.090,0,1,1,0,0,0,0,0,1,-2.20877,3.22836,2.85717,5.59498,4.6086,2.816,All-NBA Caliber,0,0,,
Livio Jean-Charles,2013,International,SA,Wing,3.5,ASVEL Basket,French LNB Pro A,18.24,19.6,81,"6'9""",86,"7'2""",5,220,0.779,0.5,0.5,0.500,0,0.50,7.6,4.8,,,,1.2,,,,,,0.7,0.6,1.3,,,,,,,,,,,,,,,,,,0.385,,,,,,0.61,,18.32,0.41,0.063,,,,0,1,1,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,1
Archie Goodwin,2013,Freshman,PHX,Guard,2,Kentucky,SEC,5.81,18.8,77.25,"6'5.25""",81.5,"6'9.5""",4.25,189,0.742,0.251,0.441,0.365,0,0.50,14.7,4.6,5.6,11.2,8.5,3.0,3.1,0.99,18.6,19.3,0.96,1.2,0.5,1.7,2.2,1.4,3.5,95.8,99.1,-3.3,16.9,0.90,0.15,0.117,0.006,1.82,3.95,0.594,0.637,0.25,0.179,0.266,0.5,0.133,0.25,0.25,0.48,0.53,467,26.8,0.55,0.113,0.115,0.693,0.721,1,0,0,0,0,0,0,0,1,-4.18997,-4.30694,-4.05226,-0.659333,,-3.302,Fringe NBA,0,0,,
Nemanja Nedovic,2013,International,GS,Guard,1.5,Lietuvos Rytas,Lithuanian LKL,7.91,22,75,"6'3""",77,"6'5""",2,190,0.505,0.5,0.5,0.500,0,0.50,9.4,2.5,1.6,13.8,7.4,1.9,2.0,0.96,26.1,16.7,1.56,0.8,0.2,1.0,2.9,1.2,4.1,100.2,100.2,0,16.9,0.77,-0.11,,,8.21,7.24,0.333,0.766,0.5,0.418,0.343,1.3,0.4459,0.5,0.5,0.51,0.45,,20.6,0.46,0.093,0.098,1.269,0.811,0,1,1,0,0,0,0,0,0,-5.86121,,,,,-5.861,Fringe NBA,0,0,,
Allen Crabbe,2013,Junior,POR,Wing,2.5,Cal,PAC 12,7.71,21.2,77.25,"6'5.25""",83.25,"6'11.25""",6,197,0.315,0.419,0.735,0.609,0,0.50,18.3,6.1,3.3,16.0,9.8,2.6,2.5,1.03,16.1,13.4,1.20,1.1,0.7,1.8,1.9,1.9,3.8,96.4,97.8,-1.4,22.3,1.05,0.20,0.170,0.008,8.42,8.26,0.297,0.813,0.75,0.393,0.348,1.9,0.6612,0.5,0.5625,0.53,0.57,548,26.58,0.69,0.097,0.094,0.605,0.505,1,0,0,0,0,0,0,0,0,-2.32181,-1.4217,-1.18609,-1.84822,0.237607,-1.308,Bench Reserve,0,0,,
Alex Abrines,2013,International,OKC,Guard,2,Barcelona,Spanish ACB,22.69,19.9,77,"6'5""",78,"6'6""",1,190,0.629,0.5,0.5,0.500,0,0.50,9.7,1.9,3,9.1,6.2,1.0,0.8,1.32,8.1,10.8,0.75,0.9,0.3,1.2,2.5,1.8,4.3,103.5,103.1,0.4,10.5,0.53,-0.27,,,2.7,3.76,0.242,0.816,0.75,0.592,0.307,0.6,0.1842,0.25,0.375,0.51,0.55,,22.9,0.42,0.045,0.034,0.352,0.471,0,1,1,0,0,0,0,0,0,,,,-1.03777,-1.87846,-1.458,Fringe NBA,0,0,,
Carrick Felix,2013,Senior,CLE,Guard,2,Arizona State,PAC 12,4.57,22.8,78.25,"6'6.25""",81.25,"6'9.25""",3,203,0.857,0.663,0.608,0.630,0,0.50,12.7,7.9,7.1,20.0,13.6,1.2,2.0,0.60,7.4,13.6,0.54,1.2,1.1,2.3,2.2,3.2,5.3,98.3,96.2,2.1,21.5,0.94,0.03,0.165,0.007,5.53,3.79,0.323,0.664,0.25,0.368,0.374,1.5,0.561,0.5,0.4375,0.55,0.57,481,20.6,0.62,0.057,0.095,0.359,0.659,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Isaiah Canaan,2013,Senior,HOU,Guard,1,Murray State,OVC,-2.86,22.1,72,"6'0""",76.5,"6'4.5""",4.5,188,0.299,0.884,0.73,0.792,0,0.75,17.8,2.9,2,10.0,5.9,3.7,3.0,1.23,24.5,15.7,1.57,1.1,0.1,1.2,2.0,0.3,2.3,98.1,101.6,-3.5,25.2,1.14,0.26,0.207,0.009,4.15,3.09,0.371,0.822,0.75,0.509,0.37,3,1.11,0.75,0.75,0.52,0.57,650,28.5,0.62,0.130,0.106,0.861,0.550,1,0,0,0,0,0,0,0,1,-2.38208,-0.764901,-2.32732,-2.9776,-0.557864,-1.802,Bench Reserve,0,0,,
Glen Rice,2013,Junior,WAS,Wing,2.5,Georgia Tech,ACC,4.13,22.5,77.75,"6'5.75""",81.25,"6'9.25""",3.5,211,0.224,0.855,0.692,0.757,0,0.75,10.9,5.8,8,20.3,14.0,2.0,2.2,0.89,17.2,15.4,1.12,1.3,0.8,2.1,2.8,3.0,5.8,98.6,95.3,3.3,23,1.02,0.12,0.156,0.007,7.49,6.3,0.296,0.606,0.25,0.404,0.333,1.4,0.4662,0.5,0.4375,0.51,0.52,,24.88,0.44,0.078,0.088,0.690,0.618,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Ray McCallum,2013,Junior,SAC,Guard,1,Detroit Mercy,Horizon,1.62,22,73.75,"6'1.75""",75.25,"6'3.25""",1.5,191,0.371,0.726,0.575,0.635,0,0.50,16.2,4.7,4,14.3,8.7,4.1,2.0,2.07,21.7,12.0,1.81,1.7,0.6,2.3,2.7,1.7,4.5,101.1,102.3,-1.2,25.7,1.17,0.29,0.200,0.009,6.36,5.39,0.47,0.717,0.5,0.298,0.323,1.3,0.4199,0.5,0.5,0.53,0.57,617,23,0.71,0.179,0.087,0.945,0.522,1,0,0,0,0,0,0,0,0,-3.63621,-2.75431,-3.21204,,,-3.201,Fringe NBA,0,0,,
Tony Mitchell,2013,Sophomore,DET,Wing,3.5,North Texas,Sun Belt,-2.71,21.2,80.75,"6'8.75""",82,"6'10""",1.25,236,0.64,0.974,0.781,0.858,0,0.75,10.0,6.8,8.4,23.1,15.4,0.4,2.1,0.18,3.1,17.0,0.18,0.9,2.4,3.3,1.7,7.6,9.3,100.5,95.9,4.6,20.8,0.98,0.13,0.128,0.006,0.67,0.51,0.494,0.675,0.25,0.314,0.3,0.9,0.27,0.25,0.25,0.49,0.53,395,20.18,0.50,0.019,0.104,0.153,0.844,1,0,0,0,0,0,0,0,0,-0.58903,,,,,-0.589,Fringe NBA,0,0,,
