,Board,Board Size,Names Entered,Completed?,Issues*,Total Boards:,164,Total Ranks:,9334,Left to enter:,406,Prospects Per Board:,59.4
55,@SPTSJUNKIE (NBA Draft Network),74,74,Yes,6 withdrawls,,,,,,,,
56,@bjpf_,92,92,Yes,,,,,,,,,
57,@ram_dub,45,45,Yes,,,,,,,,,
58,ReverseEnigma,99,99,Yes,"Published new board had to update, removed databallr reference since rankings differ",,,,,,,,
59,@OpticalHoops,350,150,Partial,leave at 150 cutoff,,,,,,,,
60,@Rileybushh ,75,75,Yes,,,,,,,,,
61,@jhirsh03,84,84,Yes,1 withdrawl,,,,,,,,
62,@who_____knows,35,35,Yes,,,,,,,,,
63,@GrizzliesFilm,79,79,Yes,Two rankings for Vladislav Goldin: 66 and 78,,,,,,,,
64,@Juul__Embiid,44,44,Yes,1 Withdrawal (Mohamed Faye),,,,,,,,
65,@redrock_bball,69,69,Yes,,,,,,,,,
66,@matwnba,54,54,Yes,,,,,,,,,
67,@SpencerVonNBA,60,60,Yes,,,,,,,,,
68,Jack Chambers,60,60,Yes,,,,,,,,,
69,NBA Draft Room,69,69,Yes,still has Malique Lewis (google says he withdrew),,,,,,,,
70,@LoganPAdams,100,25,Partial,26-100 behind paywall,,,,,,,,
71,@bballstrategy,30,30,Yes,,,,,,,,,
72,@movedmypivot,40,40,Yes,,,,,,,,,
73,@drakemayefc,20,20,Yes,,,,,,,,,
74,@Trellinterlude,40,40,Yes,,,,,,,,,
75,@TrashPanda,27,27,Yes,,,,,,,,,
76,@Duydidt,35,35,Yes,,,,,,,,,
77,@Hoops_Haven1,30,30,Yes,,,,,,,,,
78,Isaiah Silas,30,30,Yes,,,,,,,,,
79,@codyreeves14,60,60,Yes,,,,,,,,,
80,@nikoza2,60,60,Yes,,,,,,,,,
81,@zjy2000,30,30,Yes,,,,,,,,,
82,@Quinnfishburne ,30,30,Yes,,,,,,,,,
83,@antoniodias_pt,30,30,Yes,,,,,,,,,
84,@cparkernba,30,30,Yes,,,,,,,,,
85,@ChuckingDarts,20,20,Yes,,,,,,,,,
86,@ShoryLogan,26,26,Yes,,,,,,,,,
87,@Ethan387,60,60,Yes,,,,,,,,,
88,@IFIMINC,40,40,Yes,,,,,,,,,
89,@TStapletonNBA,40,40,Yes,,,,,,,,,
90,@WillC,28,28,Yes,,,,,,,,,
91,@mobanks10,59,59,Yes,,,,,,,,,
92,@RichStayman,119,102,Partial,bunch that werent listed and I'm unsure how to add; so will leave it to the pros or cut off here,,,,,,,,
93,@_thedealzone,40,40,Yes,,,,,,,,,
94,@_GatheringIntel,59,59,Yes,,,,,,,,,
95,@DraftPow,59,59,Yes,,,,,,,,,
96,@DKPhiSports,115,115,Yes,,,,,,,,,
97,@NicThomasNBA,60,60,Yes,two #31,,,,,,,,
98,Giddf,75,75,Yes,,,,,,,,,
99,@BeyondTheRK,61,61,Yes,,,,,,,,,
100,@greg23m,30,30,Yes,,,,,,,,,
101,Kam H,87,87,Yes,submitted twice,,,,,,,,
102,DrewDataDesign,41,41,Yes,,,,,,,,,
103,@dancingwithnoah,60,60,Yes,,,,,,,,,
104,theballhaus,50,50,Yes,,,,,,,,,
105,Oneiric,38,38,Yes,,,,,,,,,
106,corbannba,59,59,Yes,1 withdrawl,,,,,,,,
107,@undraliu,93,93,Yes,,,,,,,,,
108,@_LarroHoops,53,53,Yes,"*Joan at both 17 & 19, 2 withdrawals",,,,,,,,
109,salvador cali,50,50,Yes,,,,,,,,,
110,@LoganRoA_,94,94,Yes,*Hugo at both 19 & 22,,,,,,,,
111,@sammygprops,60,60,Yes,,,,,,,,,
112,@wilkomcv,50,50,Yes,,,,,,,,,
113,@wheatonbrando,30,30,Yes,,,,,,,,,
114,@Flawlesslikeeli,40,40,Yes,,,,,,,,,
115,@_R_M_M,60,60,Yes,,,,,,,,,
116,@mcfNBA,30,30,Yes,,,,,,,,,
117,@evidenceforZ,25,25,Yes,,,,,,,,,
118,@sixringsofsteeI,75,75,Yes,,,,,,,,,
119,@CozyLito,59,59,Yes,1 withdrawl,,,,,,,,
120,@HoopsMetrOx ,20,20,Yes,,,,,,,,,
121,@SBNRicky,60,60,Yes,,,,,,,,,
122,@redcooteay,30,30,Yes,,,,,,,,,
123,@jessefischer,200,150,Partial,"multiple boards (used BLEND), 2 withdrawls",,,,,,,,
124,@henrynbadraft,23,23,Yes,,,,,,,,,
125,@spursbeliever,30,30,Yes,,,,,,,,,
126,@thebigwafe,59,59,Yes,1 withdrawl,,,,,,,,
127,SMILODON,25,25,Yes,,,,,,,,,
128,@ayush_batra15,60,60,Yes,Cedric Coward unranked? 3 withdrawls,,,, ,,,,
129,@AmericanNumbers,100,100,Yes,,,,,,,,,
130,@100guaranteed,45,45,Yes,,,,,,,,,
131,@jaynay1,62,62,Yes,,,,,,,,,
132,@NileHoops,32,32,Yes,,,,,,,,,
133,@HuntHoops,58,58,Yes,,,,,,,,,
134,Mike Gribanov (@mikegrib8),40,40,Yes,,,,,,,,,
135,@bendog28,60,60,Yes,,,,,,,,,
136,@JHM Basketball,20,20,Yes,,,,,,,,,
137,@halfwaketakes,30,30,Yes,,,,,,,,,
138,@criggsnba ,40,40,Yes,,,,,,,,,
139,@NBADraftFuture,69,69,Yes,"Actually had 70, 70th was Michael Ruzic - withdrawl",,,,,,,,
140,@JoeHulbertNBA,38,38,Yes,,,,,,,,,
141,@CTFazio24,60,60,Yes,,,,,,,,,
142,@JozhNBA,41,41,Yes,,,,,,,,,
143,@hoop_tetris,47,47,Yes,,,,,,,,,
144,@tobibuehner,29,29,Yes,,,,,,,,,
145,@Josh_markowitz,75,75,Yes,,,,,,,,,
146,@onlyonepodcastt,60,60,Yes,,,,,,,,,
147,@akaCK_,40,39,Partial,missing #39,,,,,,,,
148,@TheNicolau15,160,100,Partial,won't add others,,,,,,,,
149,@British_Buzz,40,40,Yes,,,,,,,,,
150,@hellyymarco,40,40,Yes,,,,,,,,,
151,@SaucyTakez,30,30,Yes,,,,,,,,,
152,@j0nzzzz,26,26,Yes,,,,,,,,,
153,@JackDAnder,82,82,Yes,82 appear to be entered?,,,,,,,,
154,@nbadrafting,35,34,Partial,couldn't count; skipped 9,,,,,,,,
155,TheProcess (Colten Stout),79,79,Yes,1 withdrawl,,,,,,,,
156,@canpekerpekcan,30,30,Yes,,,,,,,,,
157,@ByAnthonyRizzo,30,30,Yes,,,,,,,,,
158,@TwoWayMurray,68,68,Yes,,,,,,,,,
159,@HoopIntellect,100,100,Yes,,,,,,,,,
160,John Hollinger (The Athletic),75,75,Yes,,,,,,,,,
161,Nick Heintzman,42,42,Yes,,,,,,,,,
162,@FinnDraft,45,45,Yes,,,,,,,,,
163,@ProspectingNBA,50,50,Yes,,,,,,,,,
164,@dle4three,60,59,Partial,1 withdrawl (Avdalas),,,,,,,,
